bonus_value_id	effect_key	battle_context_key
#effect_bonus_value_battle_context_junctions_tables;0;db/effect_bonus_value_battle_context_junctions_tables/nanu_dynamic_rors		
missile_damage_ap_mod_mult	nanu_missile_damage_vs_tzeentch	fighting_culture_tzeentch
missile_damage_mod_mult	nanu_missile_damage_vs_tzeentch	fighting_culture_tzeentch
missile_explosion_damage_ap_mod_mult	nanu_missile_damage_vs_tzeentch	fighting_culture_tzeentch
missile_explosion_damage_mod_mult	nanu_missile_damage_vs_tzeentch	fighting_culture_tzeentch
melee_attack_mod	nanu_stat_melee_attack_versus_grn_skv_lzd	fighting_culture_greenskin_skaven_lizardman_ogre
melee_attack_mod	nanu_stat_melee_attack_vs_empire_and_bretonnia	fighting_culture_empire_and_bretonnia
melee_attack_mod	nanu_stat_melee_attack_vs_kislev	fighting_culture_kislev
melee_attack_mod	nanu_stat_melee_attack_vs_order	fighting_culture_forces_of_order
melee_damage_ap_mod_mult	nanu_stat_melee_damage_vs_bretonnia	fighting_culture_bretonnia
melee_damage_mod_mult	nanu_stat_melee_damage_vs_bretonnia	fighting_culture_bretonnia
melee_damage_ap_mod_mult	nanu_stat_melee_damage_vs_empire	fighting_culture_empire
melee_damage_mod_mult	nanu_stat_melee_damage_vs_empire	fighting_culture_empire
melee_damage_ap_mod_mult	nanu_stat_melee_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
melee_damage_mod_mult	nanu_stat_melee_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
melee_damage_ap_mod_mult	nanu_stat_melee_damage_vs_kislev	fighting_culture_kislev
melee_damage_mod_mult	nanu_stat_melee_damage_vs_kislev	fighting_culture_kislev
melee_damage_ap_mod_mult	nanu_stat_melee_damage_vs_wood_elves	fighting_culture_wood_elves
melee_damage_mod_mult	nanu_stat_melee_damage_vs_wood_elves	fighting_culture_wood_elves
melee_defence_mod	nanu_stat_melee_defence_vs_kislev	fighting_culture_kislev
melee_defence_mod	nanu_stat_melee_defence_vs_lizardmen	fighting_culture_lizardmen
melee_defence_mod	nanu_stat_melee_defence_vs_nurgle	fighting_culture_nurgle
melee_defence_mod	nanu_stat_melee_defence_vs_ogres	fighting_culture_ogres
melee_defence_mod	nanu_stat_melee_defence_vs_slaanesh	fighting_culture_slaanesh
melee_defence_mod	nanu_stat_melee_defense_vs_bretonnia_enemies	fighting_culture_bretonnia_enemies
