bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_brt		
enable	nanu_ammo_type_arcane_fire	800600001
enable	nanu_ammo_type_flaming	800600003
enable	nanu_ammo_type_frozen	800600004
enable	nanu_ammo_type_lightning	800600005
enable	nanu_ammo_type_magic	800600006
enable	nanu_ammo_type_poison	800600000
enable	nanu_ammo_type_explosive	800600002
enable	nanu_ammo_type_explosive_arcane_fire	800600001
enable	nanu_ammo_type_explosive_flaming	800600003
enable	nanu_ammo_type_explosive_frozen	800600004
enable	nanu_ammo_type_explosive_lightning	800600005
enable	nanu_ammo_type_explosive_magic	800600006
enable	nanu_ammo_type_explosive_poison	800600000
enable	nanu_ammo_type_arcane_fire	800600007
enable	nanu_ammo_type_flaming	800600008
enable	nanu_ammo_type_frozen	800600009
enable	nanu_ammo_type_lightning	800600010
enable	nanu_ammo_type_magic	800600011
enable	nanu_ammo_type_poison	800600012
enable	nanu_ammo_type_anti_infantry	800600013
enable	nanu_ammo_type_anti_infantry_arcane_fire	800600014
enable	nanu_ammo_type_anti_infantry_flaming	800600015
enable	nanu_ammo_type_anti_infantry_frozen	800600016
enable	nanu_ammo_type_anti_infantry_lightning	800600017
enable	nanu_ammo_type_anti_infantry_magic	800600018
enable	nanu_ammo_type_anti_infantry_poison	800600019
enable	nanu_ammo_type_anti_large	800600020
enable	nanu_ammo_type_anti_large_arcane_fire	800600021
enable	nanu_ammo_type_anti_large_flaming	800600022
enable	nanu_ammo_type_anti_large_frozen	800600023
enable	nanu_ammo_type_anti_large_lightning	800600024
enable	nanu_ammo_type_anti_large_magic	800600025
enable	nanu_ammo_type_anti_large_poison	800600026
enable	nanu_ammo_type_multi	800600027
enable	nanu_ammo_type_multi_arcane_fire	800600028
enable	nanu_ammo_type_multi_flaming	800600029
enable	nanu_ammo_type_multi_frozen	800600030
enable	nanu_ammo_type_multi_lightning	800600031
enable	nanu_ammo_type_multi_magic	800600032
enable	nanu_ammo_type_multi_poison	800600033
enable	nanu_ammo_type_seeking	800600034
enable	nanu_ammo_type_seeking_arcane_fire	800600035
enable	nanu_ammo_type_seeking_flaming	800600036
enable	nanu_ammo_type_seeking_frozen	800600037
enable	nanu_ammo_type_seeking_frozen	800600038
enable	nanu_ammo_type_seeking_lightning	800600039
enable	nanu_ammo_type_seeking_poison	800600040
enable	nanu_ammo_type_arcane_fire	800600041
enable	nanu_ammo_type_flaming	800600042
enable	nanu_ammo_type_frozen	800600043
enable	nanu_ammo_type_lightning	800600044
enable	nanu_ammo_type_magic	800600045
enable	nanu_ammo_type_poison	800600046
enable	nanu_ammo_type_anti_infantry	800600047
enable	nanu_ammo_type_anti_infantry_arcane_fire	800600048
enable	nanu_ammo_type_anti_infantry_flaming	800600049
enable	nanu_ammo_type_anti_infantry_frozen	800600050
enable	nanu_ammo_type_anti_infantry_lightning	800600051
enable	nanu_ammo_type_anti_infantry_magic	800600052
enable	nanu_ammo_type_anti_infantry_poison	800600053
enable	nanu_ammo_type_anti_large	800600054
enable	nanu_ammo_type_anti_large_arcane_fire	800600055
enable	nanu_ammo_type_anti_large_flaming	800600056
enable	nanu_ammo_type_anti_large_frozen	800600057
enable	nanu_ammo_type_anti_large_lightning	800600058
enable	nanu_ammo_type_anti_large_magic	800600059
enable	nanu_ammo_type_anti_large_poison	800600060
enable	nanu_ammo_type_multi	800600061
enable	nanu_ammo_type_multi_arcane_fire	800600062
enable	nanu_ammo_type_multi_flaming	800600063
enable	nanu_ammo_type_multi_frozen	800600064
enable	nanu_ammo_type_multi_lightning	800600065
enable	nanu_ammo_type_multi_magic	800600066
enable	nanu_ammo_type_multi_poison	800600067
enable	nanu_ammo_type_seeking	800600068
enable	nanu_ammo_type_seeking_arcane_fire	800600069
enable	nanu_ammo_type_seeking_flaming	800600070
enable	nanu_ammo_type_seeking_frozen	800600071
enable	nanu_ammo_type_seeking_frozen	800600072
enable	nanu_ammo_type_seeking_lightning	800600073
enable	nanu_ammo_type_seeking_poison	800600074
enable	nanu_ammo_type_arcane_fire	800600075
enable	nanu_ammo_type_magic	800600075
enable	nanu_ammo_type_anti_infantry_arcane_fire	800600076
enable	nanu_ammo_type_anti_infantry_magic	800600076
enable	nanu_ammo_type_anti_large_arcane_fire	800600077
enable	nanu_ammo_type_anti_large_magic	800600077
enable	nanu_ammo_type_multi_arcane_fire	800600078
enable	nanu_ammo_type_multi	800600079
enable	nanu_ammo_type_seeking_arcane_fire	800600080
enable	nanu_ammo_type_seeking_magic	800600080
enable	nanu_ammo_type_seeking	800600081
enable	nanu_ammo_type_anti_infantry	800600082
enable	nanu_ammo_type_anti_infantry_poison	800600082
enable	nanu_ammo_type_anti_large	800600083
enable	nanu_ammo_type_anti_large_poison	800600083
enable	nanu_ammo_type_multi	800600084
enable	nanu_ammo_type_multi_poison	800600084
enable	nanu_ammo_type_seeking	800600085
enable	nanu_ammo_type_seeking_poison	800600085
