bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_chs		
enable	nanu_ammo_type_arcane_fire	800640000
enable	nanu_ammo_type_flaming	800640001
enable	nanu_ammo_type_frozen	800640002
enable	nanu_ammo_type_lightning	800640003
enable	nanu_ammo_type_magic	800640004
enable	nanu_ammo_type_poison	800640005
enable	nanu_ammo_type_anti_infantry	800640006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800640007
enable	nanu_ammo_type_anti_infantry_flaming	800640008
enable	nanu_ammo_type_anti_infantry_frozen	800640009
enable	nanu_ammo_type_anti_infantry_lightning	800640010
enable	nanu_ammo_type_anti_infantry_magic	800640011
enable	nanu_ammo_type_anti_infantry_poison	800640012
enable	nanu_ammo_type_anti_large	800640013
enable	nanu_ammo_type_anti_large_arcane_fire	800640014
enable	nanu_ammo_type_anti_large_flaming	800640015
enable	nanu_ammo_type_anti_large_frozen	800640016
enable	nanu_ammo_type_anti_large_lightning	800640017
enable	nanu_ammo_type_anti_large_magic	800640018
enable	nanu_ammo_type_anti_large_poison	800640019
enable	nanu_ammo_type_multi	800640020
enable	nanu_ammo_type_multi_arcane_fire	800640021
enable	nanu_ammo_type_multi_flaming	800640022
enable	nanu_ammo_type_multi_frozen	800640023
enable	nanu_ammo_type_multi_lightning	800640024
enable	nanu_ammo_type_multi_magic	800640025
enable	nanu_ammo_type_multi_poison	800640026
enable	nanu_ammo_type_seeking	800640027
enable	nanu_ammo_type_seeking_arcane_fire	800640028
enable	nanu_ammo_type_seeking_flaming	800640029
enable	nanu_ammo_type_seeking_frozen	800640030
enable	nanu_ammo_type_seeking_lightning	800640031
enable	nanu_ammo_type_seeking_magic	800640032
enable	nanu_ammo_type_seeking_poison	800640033
enable	nanu_ammo_type_arcane_fire	800640034
enable	nanu_ammo_type_flaming	800640035
enable	nanu_ammo_type_frozen	800640036
enable	nanu_ammo_type_lightning	800640037
enable	nanu_ammo_type_magic	800640038
enable	nanu_ammo_type_poison	800640039
enable	nanu_ammo_type_anti_infantry	800640040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800640041
enable	nanu_ammo_type_anti_infantry_flaming	800640042
enable	nanu_ammo_type_anti_infantry_frozen	800640043
enable	nanu_ammo_type_anti_infantry_lightning	800640044
enable	nanu_ammo_type_anti_infantry_magic	800640045
enable	nanu_ammo_type_anti_infantry_poison	800640046
enable	nanu_ammo_type_anti_large	800640047
enable	nanu_ammo_type_anti_large_arcane_fire	800640048
enable	nanu_ammo_type_anti_large_flaming	800640049
enable	nanu_ammo_type_anti_large_frozen	800640050
enable	nanu_ammo_type_anti_large_lightning	800640051
enable	nanu_ammo_type_anti_large_magic	800640052
enable	nanu_ammo_type_anti_large_poison	800640053
enable	nanu_ammo_type_multi	800640054
enable	nanu_ammo_type_multi_arcane_fire	800640055
enable	nanu_ammo_type_multi_flaming	800640056
enable	nanu_ammo_type_multi_frozen	800640057
enable	nanu_ammo_type_multi_lightning	800640058
enable	nanu_ammo_type_multi_magic	800640059
enable	nanu_ammo_type_multi_poison	800640060
enable	nanu_ammo_type_seeking	800640061
enable	nanu_ammo_type_seeking_arcane_fire	800640062
enable	nanu_ammo_type_seeking_flaming	800640063
enable	nanu_ammo_type_seeking_frozen	800640064
enable	nanu_ammo_type_seeking_lightning	800640065
enable	nanu_ammo_type_seeking_magic	800640066
enable	nanu_ammo_type_seeking_poison	800640067
enable	nanu_ammo_type_frozen	800640068
enable	nanu_ammo_type_lightning	800640069
enable	nanu_ammo_type_multi	800640070
enable	nanu_ammo_type_multi_frozen	800640071
enable	nanu_ammo_type_multi_lightning	800640072
enable	nanu_ammo_type_arcane_fire	800640073
enable	nanu_ammo_type_flaming	800640074
enable	nanu_ammo_type_frozen	800640075
enable	nanu_ammo_type_lightning	800640076
enable	nanu_ammo_type_magic	800640077
enable	nanu_ammo_type_poison	800640078
enable	nanu_ammo_type_anti_infantry	800640079
enable	nanu_ammo_type_anti_infantry_arcane_fire	800640080
enable	nanu_ammo_type_anti_infantry_flaming	800640081
enable	nanu_ammo_type_anti_infantry_frozen	800640082
enable	nanu_ammo_type_anti_infantry_lightning	800640083
enable	nanu_ammo_type_anti_infantry_magic	800640084
enable	nanu_ammo_type_anti_infantry_poison	800640085
enable	nanu_ammo_type_anti_large	800640086
enable	nanu_ammo_type_anti_large_arcane_fire	800640087
enable	nanu_ammo_type_anti_large_flaming	800640088
enable	nanu_ammo_type_anti_large_frozen	800640089
enable	nanu_ammo_type_anti_large_lightning	800640090
enable	nanu_ammo_type_anti_large_magic	800640091
enable	nanu_ammo_type_anti_large_poison	800640092
enable	nanu_ammo_type_multi	800640093
enable	nanu_ammo_type_multi_arcane_fire	800640094
enable	nanu_ammo_type_multi_flaming	800640095
enable	nanu_ammo_type_multi_frozen	800640096
enable	nanu_ammo_type_multi_lightning	800640097
enable	nanu_ammo_type_multi_magic	800640098
enable	nanu_ammo_type_multi_poison	800640099
enable	nanu_ammo_type_seeking	800640100
enable	nanu_ammo_type_seeking_arcane_fire	800640101
enable	nanu_ammo_type_seeking_flaming	800640102
enable	nanu_ammo_type_seeking_frozen	800640103
enable	nanu_ammo_type_seeking_lightning	800640104
enable	nanu_ammo_type_seeking_magic	800640105
enable	nanu_ammo_type_seeking_poison	800640106
