bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_def		
enable	nanu_ammo_type_arcane_fire	800670000
enable	nanu_ammo_type_flaming	800670001
enable	nanu_ammo_type_magic	800670002
enable	nanu_ammo_type_poison	800670003
enable	nanu_ammo_type_arcane_fire	800670004
enable	nanu_ammo_type_flaming	800670005
enable	nanu_ammo_type_magic	800670006
enable	nanu_ammo_type_poison	800670007
enable	nanu_ammo_type_arcane_fire	800670008
enable	nanu_ammo_type_flaming	800670009
enable	nanu_ammo_type_magic	800670010
enable	nanu_ammo_type_poison	800670011
enable	nanu_ammo_type_anti_infantry	800670012
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670013
enable	nanu_ammo_type_anti_infantry_flaming	800670014
enable	nanu_ammo_type_anti_infantry_magic	800670015
enable	nanu_ammo_type_anti_infantry_poison	800670016
enable	nanu_ammo_type_anti_large	800670017
enable	nanu_ammo_type_anti_large_arcane_fire	800670018
enable	nanu_ammo_type_anti_large_flaming	800670019
enable	nanu_ammo_type_anti_large_magic	800670020
enable	nanu_ammo_type_anti_large_poison	800670021
enable	nanu_ammo_type_arcane_fire	800670022
enable	nanu_ammo_type_flaming	800670023
enable	nanu_ammo_type_magic	800670024
enable	nanu_ammo_type_poison	800670025
enable	nanu_ammo_type_anti_infantry	800670026
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670027
enable	nanu_ammo_type_anti_infantry_flaming	800670028
enable	nanu_ammo_type_anti_infantry_magic	800670029
enable	nanu_ammo_type_anti_infantry_poison	800670030
enable	nanu_ammo_type_anti_large	800670031
enable	nanu_ammo_type_anti_large_arcane_fire	800670032
enable	nanu_ammo_type_anti_large_flaming	800670033
enable	nanu_ammo_type_anti_large_magic	800670034
enable	nanu_ammo_type_anti_large_poison	800670035
enable	nanu_ammo_type_arcane_fire	800670036
enable	nanu_ammo_type_flaming	800670037
enable	nanu_ammo_type_magic	800670038
enable	nanu_ammo_type_poison	800670039
enable	nanu_ammo_type_anti_infantry	800670040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670041
enable	nanu_ammo_type_anti_infantry_flaming	800670042
enable	nanu_ammo_type_anti_infantry_magic	800670043
enable	nanu_ammo_type_anti_infantry_poison	800670044
enable	nanu_ammo_type_anti_large	800670045
enable	nanu_ammo_type_anti_large_arcane_fire	800670046
enable	nanu_ammo_type_anti_large_flaming	800670047
enable	nanu_ammo_type_anti_large_magic	800670048
enable	nanu_ammo_type_anti_large_poison	800670049
enable	nanu_ammo_type_arcane_fire	800670050
enable	nanu_ammo_type_flaming	800670051
enable	nanu_ammo_type_magic	800670052
enable	nanu_ammo_type_poison	800670053
enable	nanu_ammo_type_anti_infantry	800670054
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670055
enable	nanu_ammo_type_anti_infantry_flaming	800670056
enable	nanu_ammo_type_anti_infantry_magic	800670057
enable	nanu_ammo_type_anti_infantry_poison	800670058
enable	nanu_ammo_type_anti_large	800670059
enable	nanu_ammo_type_anti_large_arcane_fire	800670060
enable	nanu_ammo_type_anti_large_flaming	800670061
enable	nanu_ammo_type_anti_large_magic	800670062
enable	nanu_ammo_type_anti_large_poison	800670063
enable	nanu_ammo_type_arcane_fire	800670064
enable	nanu_ammo_type_flaming	800670065
enable	nanu_ammo_type_magic	800670066
enable	nanu_ammo_type_poison	800670067
enable	nanu_ammo_type_anti_infantry	800670068
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670069
enable	nanu_ammo_type_anti_infantry_flaming	800670070
enable	nanu_ammo_type_anti_infantry_magic	800670071
enable	nanu_ammo_type_anti_infantry_poison	800670072
enable	nanu_ammo_type_anti_large	800670073
enable	nanu_ammo_type_anti_large_arcane_fire	800670074
enable	nanu_ammo_type_anti_large_flaming	800670075
enable	nanu_ammo_type_anti_large_magic	800670076
enable	nanu_ammo_type_anti_large_poison	800670077
enable	nanu_ammo_type_arcane_fire	800670078
enable	nanu_ammo_type_flaming	800670079
enable	nanu_ammo_type_magic	800670080
enable	nanu_ammo_type_poison	800670081
enable	nanu_ammo_type_anti_infantry	800670082
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670083
enable	nanu_ammo_type_anti_infantry_flaming	800670084
enable	nanu_ammo_type_anti_infantry_magic	800670085
enable	nanu_ammo_type_anti_infantry_poison	800670086
enable	nanu_ammo_type_anti_large	800670087
enable	nanu_ammo_type_anti_large_arcane_fire	800670088
enable	nanu_ammo_type_anti_large_flaming	800670089
enable	nanu_ammo_type_anti_large_magic	800670090
enable	nanu_ammo_type_anti_large_poison	800670091
enable	nanu_ammo_type_arcane_fire	800670092
enable	nanu_ammo_type_flaming	800670093
enable	nanu_ammo_type_magic	800670094
enable	nanu_ammo_type_poison	800670095
enable	nanu_ammo_type_anti_infantry	800670096
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670097
enable	nanu_ammo_type_anti_infantry_flaming	800670098
enable	nanu_ammo_type_anti_infantry_magic	800670099
enable	nanu_ammo_type_anti_infantry_poison	800670100
enable	nanu_ammo_type_anti_large	800670101
enable	nanu_ammo_type_anti_large_arcane_fire	800670102
enable	nanu_ammo_type_anti_large_flaming	800670103
enable	nanu_ammo_type_anti_large_magic	800670104
enable	nanu_ammo_type_anti_large_poison	800670105
enable	nanu_ammo_type_arcane_fire	800670106
enable	nanu_ammo_type_flaming	800670107
enable	nanu_ammo_type_magic	800670108
enable	nanu_ammo_type_poison	800670109
enable	nanu_ammo_type_anti_infantry	800670110
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670111
enable	nanu_ammo_type_anti_infantry_flaming	800670112
enable	nanu_ammo_type_anti_infantry_magic	800670113
enable	nanu_ammo_type_anti_infantry_poison	800670114
enable	nanu_ammo_type_anti_large	800670115
enable	nanu_ammo_type_anti_large_arcane_fire	800670116
enable	nanu_ammo_type_anti_large_flaming	800670117
enable	nanu_ammo_type_anti_large_magic	800670118
enable	nanu_ammo_type_anti_large_poison	800670119
enable	nanu_ammo_type_arcane_fire	800670120
enable	nanu_ammo_type_flaming	800670121
enable	nanu_ammo_type_magic	800670122
enable	nanu_ammo_type_poison	800670123
enable	nanu_ammo_type_anti_infantry	800670124
enable	nanu_ammo_type_anti_infantry_arcane_fire	800670125
enable	nanu_ammo_type_anti_infantry_flaming	800670126
enable	nanu_ammo_type_anti_infantry_magic	800670127
enable	nanu_ammo_type_anti_infantry_poison	800670128
enable	nanu_ammo_type_anti_large	800670129
enable	nanu_ammo_type_anti_large_arcane_fire	800670130
enable	nanu_ammo_type_anti_large_flaming	800670131
enable	nanu_ammo_type_anti_large_magic	800670132
enable	nanu_ammo_type_anti_large_poison	800670133
enable	nanu_ammo_type_frozen	800670134
