bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_dwf		
enable	nanu_ammo_type_arcane_fire	800680000
enable	nanu_ammo_type_flaming	800680001
enable	nanu_ammo_type_frozen	800680002
enable	nanu_ammo_type_lightning	800680003
enable	nanu_ammo_type_magic	800680004
enable	nanu_ammo_type_poison	800680005
enable	nanu_ammo_type_anti_infantry	800680006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800680007
enable	nanu_ammo_type_anti_infantry_flaming	800680008
enable	nanu_ammo_type_anti_infantry_frozen	800680009
enable	nanu_ammo_type_anti_infantry_lightning	800680010
enable	nanu_ammo_type_anti_infantry_magic	800680011
enable	nanu_ammo_type_anti_infantry_poison	800680012
enable	nanu_ammo_type_anti_large	800680013
enable	nanu_ammo_type_anti_large_arcane_fire	800680014
enable	nanu_ammo_type_anti_large_flaming	800680015
enable	nanu_ammo_type_anti_large_frozen	800680016
enable	nanu_ammo_type_anti_large_lightning	800680017
enable	nanu_ammo_type_anti_large_magic	800680018
enable	nanu_ammo_type_anti_large_poison	800680019
enable	nanu_ammo_type_multi	800680020
enable	nanu_ammo_type_multi_arcane_fire	800680021
enable	nanu_ammo_type_multi_flaming	800680022
enable	nanu_ammo_type_multi_frozen	800680023
enable	nanu_ammo_type_multi_lightning	800680024
enable	nanu_ammo_type_multi_magic	800680025
enable	nanu_ammo_type_multi_poison	800680026
enable	nanu_ammo_type_seeking	800680027
enable	nanu_ammo_type_seeking_arcane_fire	800680028
enable	nanu_ammo_type_seeking_flaming	800680029
enable	nanu_ammo_type_seeking_frozen	800680030
enable	nanu_ammo_type_seeking_lightning	800680031
enable	nanu_ammo_type_seeking_magic	800680032
enable	nanu_ammo_type_seeking_poison	800680033
enable	nanu_ammo_type_arcane_fire	800680034
enable	nanu_ammo_type_flaming	800680035
enable	nanu_ammo_type_frozen	800680036
enable	nanu_ammo_type_lightning	800680037
enable	nanu_ammo_type_magic	800680038
enable	nanu_ammo_type_poison	800680039
enable	nanu_ammo_type_anti_infantry	800680040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800680041
enable	nanu_ammo_type_anti_infantry_flaming	800680042
enable	nanu_ammo_type_anti_infantry_frozen	800680043
enable	nanu_ammo_type_anti_infantry_lightning	800680044
enable	nanu_ammo_type_anti_infantry_magic	800680045
enable	nanu_ammo_type_anti_infantry_poison	800680046
enable	nanu_ammo_type_anti_large	800680047
enable	nanu_ammo_type_anti_large_arcane_fire	800680048
enable	nanu_ammo_type_anti_large_flaming	800680049
enable	nanu_ammo_type_anti_large_frozen	800680050
enable	nanu_ammo_type_anti_large_lightning	800680051
enable	nanu_ammo_type_anti_large_magic	800680052
enable	nanu_ammo_type_anti_large_poison	800680053
enable	nanu_ammo_type_multi	800680054
enable	nanu_ammo_type_multi_arcane_fire	800680055
enable	nanu_ammo_type_multi_flaming	800680056
enable	nanu_ammo_type_multi_frozen	800680057
enable	nanu_ammo_type_multi_lightning	800680058
enable	nanu_ammo_type_multi_magic	800680059
enable	nanu_ammo_type_multi_poison	800680060
enable	nanu_ammo_type_seeking	800680061
enable	nanu_ammo_type_seeking_arcane_fire	800680062
enable	nanu_ammo_type_seeking_flaming	800680063
enable	nanu_ammo_type_seeking_frozen	800680064
enable	nanu_ammo_type_seeking_lightning	800680065
enable	nanu_ammo_type_seeking_magic	800680066
enable	nanu_ammo_type_seeking_poison	800680067
enable	nanu_ammo_type_arcane_fire	800680068
enable	nanu_ammo_type_flaming	800680069
enable	nanu_ammo_type_frozen	800680070
enable	nanu_ammo_type_lightning	800680071
enable	nanu_ammo_type_magic	800680072
enable	nanu_ammo_type_poison	800680073
enable	nanu_ammo_type_anti_infantry	800680074
enable	nanu_ammo_type_anti_infantry_arcane_fire	800680075
enable	nanu_ammo_type_anti_infantry_flaming	800680076
enable	nanu_ammo_type_anti_infantry_frozen	800680077
enable	nanu_ammo_type_anti_infantry_lightning	800680078
enable	nanu_ammo_type_anti_infantry_magic	800680079
enable	nanu_ammo_type_anti_infantry_poison	800680080
enable	nanu_ammo_type_anti_large	800680081
enable	nanu_ammo_type_anti_large_arcane_fire	800680082
enable	nanu_ammo_type_anti_large_flaming	800680083
enable	nanu_ammo_type_anti_large_frozen	800680084
enable	nanu_ammo_type_anti_large_lightning	800680085
enable	nanu_ammo_type_anti_large_magic	800680086
enable	nanu_ammo_type_anti_large_poison	800680087
enable	nanu_ammo_type_multi	800680088
enable	nanu_ammo_type_multi_arcane_fire	800680089
enable	nanu_ammo_type_multi_flaming	800680090
enable	nanu_ammo_type_multi_frozen	800680091
enable	nanu_ammo_type_multi_lightning	800680092
enable	nanu_ammo_type_multi_magic	800680093
enable	nanu_ammo_type_multi_poison	800680094
enable	nanu_ammo_type_seeking	800680095
enable	nanu_ammo_type_seeking_arcane_fire	800680096
enable	nanu_ammo_type_seeking_flaming	800680097
enable	nanu_ammo_type_seeking_frozen	800680098
enable	nanu_ammo_type_seeking_lightning	800680099
enable	nanu_ammo_type_seeking_magic	800680100
enable	nanu_ammo_type_seeking_poison	800680101
enable	nanu_ammo_type_arcane_fire	800680102
enable	nanu_ammo_type_flaming	800680103
enable	nanu_ammo_type_frozen	800680104
enable	nanu_ammo_type_lightning	800680105
enable	nanu_ammo_type_magic	800680106
enable	nanu_ammo_type_explosive	800680107
enable	nanu_ammo_type_explosive_arcane_fire	800680108
enable	nanu_ammo_type_explosive_flaming	800680109
enable	nanu_ammo_type_explosive_frozen	800680110
enable	nanu_ammo_type_explosive_lightning	800680111
enable	nanu_ammo_type_explosive_magic	800680112
enable	nanu_ammo_type_multi	800680113
enable	nanu_ammo_type_multi_arcane_fire	800680114
enable	nanu_ammo_type_multi_flaming	800680115
enable	nanu_ammo_type_multi_frozen	800680116
enable	nanu_ammo_type_multi_lightning	800680117
enable	nanu_ammo_type_multi_magic	800680118
enable	nanu_ammo_type_seeking	800680119
enable	nanu_ammo_type_seeking_arcane_fire	800680120
enable	nanu_ammo_type_seeking_flaming	800680121
enable	nanu_ammo_type_seeking_frozen	800680122
enable	nanu_ammo_type_seeking_lightning	800680123
enable	nanu_ammo_type_seeking_magic	800680124
