bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_emp		
enable	nanu_ammo_type_arcane_fire	800690000
enable	nanu_ammo_type_flaming	800690001
enable	nanu_ammo_type_frozen	800690002
enable	nanu_ammo_type_lightning	800690003
enable	nanu_ammo_type_magic	800690004
enable	nanu_ammo_type_poison	800690005
enable	nanu_ammo_type_anti_infantry	800690006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690007
enable	nanu_ammo_type_anti_infantry_flaming	800690008
enable	nanu_ammo_type_anti_infantry_frozen	800690009
enable	nanu_ammo_type_anti_infantry_lightning	800690010
enable	nanu_ammo_type_anti_infantry_magic	800690011
enable	nanu_ammo_type_anti_infantry_poison	800690012
enable	nanu_ammo_type_anti_large	800690013
enable	nanu_ammo_type_anti_large_arcane_fire	800690014
enable	nanu_ammo_type_anti_large_flaming	800690015
enable	nanu_ammo_type_anti_large_frozen	800690016
enable	nanu_ammo_type_anti_large_lightning	800690017
enable	nanu_ammo_type_anti_large_magic	800690018
enable	nanu_ammo_type_anti_large_poison	800690019
enable	nanu_ammo_type_seeking	800690020
enable	nanu_ammo_type_seeking_arcane_fire	800690021
enable	nanu_ammo_type_seeking_flaming	800690022
enable	nanu_ammo_type_seeking_frozen	800690023
enable	nanu_ammo_type_seeking_lightning	800690024
enable	nanu_ammo_type_seeking_magic	800690025
enable	nanu_ammo_type_seeking_poison	800690026
enable	nanu_ammo_type_multi	800690027
enable	nanu_ammo_type_multi_arcane_fire	800690028
enable	nanu_ammo_type_multi_flaming	800690029
enable	nanu_ammo_type_multi_frozen	800690030
enable	nanu_ammo_type_multi_lightning	800690031
enable	nanu_ammo_type_multi_magic	800690032
enable	nanu_ammo_type_multi_poison	800690033
enable	nanu_ammo_type_arcane_fire	800690034
enable	nanu_ammo_type_flaming	800690035
enable	nanu_ammo_type_frozen	800690036
enable	nanu_ammo_type_lightning	800690037
enable	nanu_ammo_type_magic	800690038
enable	nanu_ammo_type_poison	800690039
enable	nanu_ammo_type_anti_infantry	800690040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690041
enable	nanu_ammo_type_anti_infantry_flaming	800690042
enable	nanu_ammo_type_anti_infantry_frozen	800690043
enable	nanu_ammo_type_anti_infantry_lightning	800690044
enable	nanu_ammo_type_anti_infantry_magic	800690045
enable	nanu_ammo_type_anti_infantry_poison	800690046
enable	nanu_ammo_type_anti_large	800690047
enable	nanu_ammo_type_anti_large_arcane_fire	800690048
enable	nanu_ammo_type_anti_large_flaming	800690049
enable	nanu_ammo_type_anti_large_frozen	800690050
enable	nanu_ammo_type_anti_large_lightning	800690051
enable	nanu_ammo_type_anti_large_magic	800690052
enable	nanu_ammo_type_anti_large_poison	800690053
enable	nanu_ammo_type_seeking	800690054
enable	nanu_ammo_type_seeking_arcane_fire	800690055
enable	nanu_ammo_type_seeking_flaming	800690056
enable	nanu_ammo_type_seeking_frozen	800690057
enable	nanu_ammo_type_seeking_lightning	800690058
enable	nanu_ammo_type_seeking_magic	800690059
enable	nanu_ammo_type_seeking_poison	800690060
enable	nanu_ammo_type_multi	800690061
enable	nanu_ammo_type_multi_arcane_fire	800690062
enable	nanu_ammo_type_multi_flaming	800690063
enable	nanu_ammo_type_multi_frozen	800690064
enable	nanu_ammo_type_multi_lightning	800690065
enable	nanu_ammo_type_multi_magic	800690066
enable	nanu_ammo_type_multi_poison	800690067
enable	nanu_ammo_type_arcane_fire	800690068
enable	nanu_ammo_type_flaming	800690069
enable	nanu_ammo_type_frozen	800690070
enable	nanu_ammo_type_lightning	800690071
enable	nanu_ammo_type_magic	800690072
enable	nanu_ammo_type_poison	800690073
enable	nanu_ammo_type_anti_infantry	800690074
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690075
enable	nanu_ammo_type_anti_infantry_flaming	800690076
enable	nanu_ammo_type_anti_infantry_frozen	800690077
enable	nanu_ammo_type_anti_infantry_lightning	800690078
enable	nanu_ammo_type_anti_infantry_magic	800690079
enable	nanu_ammo_type_anti_infantry_poison	800690080
enable	nanu_ammo_type_anti_large	800690081
enable	nanu_ammo_type_anti_large_arcane_fire	800690082
enable	nanu_ammo_type_anti_large_flaming	800690083
enable	nanu_ammo_type_anti_large_frozen	800690084
enable	nanu_ammo_type_anti_large_lightning	800690085
enable	nanu_ammo_type_anti_large_magic	800690086
enable	nanu_ammo_type_anti_large_poison	800690087
enable	nanu_ammo_type_seeking	800690088
enable	nanu_ammo_type_seeking_arcane_fire	800690089
enable	nanu_ammo_type_seeking_flaming	800690090
enable	nanu_ammo_type_seeking_frozen	800690091
enable	nanu_ammo_type_seeking_lightning	800690092
enable	nanu_ammo_type_seeking_magic	800690093
enable	nanu_ammo_type_seeking_poison	800690094
enable	nanu_ammo_type_multi	800690095
enable	nanu_ammo_type_multi_arcane_fire	800690096
enable	nanu_ammo_type_multi_flaming	800690097
enable	nanu_ammo_type_multi_frozen	800690098
enable	nanu_ammo_type_multi_lightning	800690099
enable	nanu_ammo_type_multi_magic	800690100
enable	nanu_ammo_type_multi_poison	800690101
enable	nanu_ammo_type_arcane_fire	800690102
enable	nanu_ammo_type_flaming	800690103
enable	nanu_ammo_type_frozen	800690104
enable	nanu_ammo_type_lightning	800690105
enable	nanu_ammo_type_magic	800690106
enable	nanu_ammo_type_anti_infantry	800690107
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690108
enable	nanu_ammo_type_anti_infantry_flaming	800690109
enable	nanu_ammo_type_anti_infantry_frozen	800690110
enable	nanu_ammo_type_anti_infantry_lightning	800690111
enable	nanu_ammo_type_anti_infantry_magic	800690112
enable	nanu_ammo_type_anti_large	800690113
enable	nanu_ammo_type_anti_large_arcane_fire	800690114
enable	nanu_ammo_type_anti_large_flaming	800690115
enable	nanu_ammo_type_anti_large_frozen	800690116
enable	nanu_ammo_type_anti_large_lightning	800690117
enable	nanu_ammo_type_anti_large_magic	800690118
enable	nanu_ammo_type_multi	800690119
enable	nanu_ammo_type_multi_arcane_fire	800690120
enable	nanu_ammo_type_multi_flaming	800690121
enable	nanu_ammo_type_multi_frozen	800690122
enable	nanu_ammo_type_multi_lightning	800690123
enable	nanu_ammo_type_multi_magic	800690124
enable	nanu_ammo_type_explosive	800690125
enable	nanu_ammo_type_explosive_arcane_fire	800690126
enable	nanu_ammo_type_explosive_flaming	800690127
enable	nanu_ammo_type_explosive_frozen	800690128
enable	nanu_ammo_type_explosive_lightning	800690129
enable	nanu_ammo_type_explosive_magic	800690130
enable	nanu_ammo_type_arcane_fire	800690131
enable	nanu_ammo_type_flaming	800690132
enable	nanu_ammo_type_frozen	800690133
enable	nanu_ammo_type_lightning	800690134
enable	nanu_ammo_type_magic	800690135
enable	nanu_ammo_type_anti_infantry	800690136
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690137
enable	nanu_ammo_type_anti_infantry_flaming	800690138
enable	nanu_ammo_type_anti_infantry_frozen	800690139
enable	nanu_ammo_type_anti_infantry_lightning	800690140
enable	nanu_ammo_type_anti_infantry_magic	800690141
enable	nanu_ammo_type_anti_large	800690142
enable	nanu_ammo_type_anti_large_arcane_fire	800690143
enable	nanu_ammo_type_anti_large_flaming	800690144
enable	nanu_ammo_type_anti_large_frozen	800690145
enable	nanu_ammo_type_anti_large_lightning	800690146
enable	nanu_ammo_type_anti_large_magic	800690147
enable	nanu_ammo_type_multi	800690148
enable	nanu_ammo_type_multi_arcane_fire	800690149
enable	nanu_ammo_type_multi_flaming	800690150
enable	nanu_ammo_type_multi_frozen	800690151
enable	nanu_ammo_type_multi_lightning	800690152
enable	nanu_ammo_type_multi_magic	800690153
enable	nanu_ammo_type_explosive	800690154
enable	nanu_ammo_type_explosive_arcane_fire	800690155
enable	nanu_ammo_type_explosive_flaming	800690156
enable	nanu_ammo_type_explosive_frozen	800690157
enable	nanu_ammo_type_explosive_lightning	800690158
enable	nanu_ammo_type_explosive_magic	800690159
enable	nanu_ammo_type_arcane_fire	800690160
enable	nanu_ammo_type_flaming	800690161
enable	nanu_ammo_type_frozen	800690162
enable	nanu_ammo_type_lightning	800690163
enable	nanu_ammo_type_magic	800690164
enable	nanu_ammo_type_multi	800690165
enable	nanu_ammo_type_multi_arcane_fire	800690166
enable	nanu_ammo_type_multi_flaming	800690167
enable	nanu_ammo_type_multi_frozen	800690168
enable	nanu_ammo_type_multi_lightning	800690169
enable	nanu_ammo_type_multi_magic	800690170
enable	nanu_ammo_type_arcane_fire	800690171
enable	nanu_ammo_type_flaming	800690172
enable	nanu_ammo_type_frozen	800690173
enable	nanu_ammo_type_lightning	800690174
enable	nanu_ammo_type_magic	800690175
enable	nanu_ammo_type_multi	800690176
enable	nanu_ammo_type_multi_arcane_fire	800690177
enable	nanu_ammo_type_multi_flaming	800690178
enable	nanu_ammo_type_multi_frozen	800690179
enable	nanu_ammo_type_multi_lightning	800690180
enable	nanu_ammo_type_multi_magic	800690181
enable	nanu_ammo_type_arcane_fire	800690182
enable	nanu_ammo_type_flaming	800690183
enable	nanu_ammo_type_frozen	800690184
enable	nanu_ammo_type_lightning	800690185
enable	nanu_ammo_type_magic	800690186
enable	nanu_ammo_type_anti_infantry	800690187
enable	nanu_ammo_type_anti_infantry_arcane_fire	800690188
enable	nanu_ammo_type_anti_infantry_flaming	800690189
enable	nanu_ammo_type_anti_infantry_frozen	800690190
enable	nanu_ammo_type_anti_infantry_lightning	800690191
enable	nanu_ammo_type_anti_infantry_magic	800690192
enable	nanu_ammo_type_anti_large	800690193
enable	nanu_ammo_type_anti_large_arcane_fire	800690194
enable	nanu_ammo_type_anti_large_flaming	800690195
enable	nanu_ammo_type_anti_large_frozen	800690196
enable	nanu_ammo_type_anti_large_lightning	800690197
enable	nanu_ammo_type_anti_large_magic	800690198
enable	nanu_ammo_type_explosive	800690199
enable	nanu_ammo_type_explosive_arcane_fire	800690200
enable	nanu_ammo_type_explosive_flaming	800690201
enable	nanu_ammo_type_explosive_frozen	800690202
