bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_grn		
enable	nanu_ammo_type_arcane_fire	800700000
enable	nanu_ammo_type_flaming	800700001
enable	nanu_ammo_type_frozen	800700002
enable	nanu_ammo_type_lightning	800700003
enable	nanu_ammo_type_magic	800700004
enable	nanu_ammo_type_poison	800700005
enable	nanu_ammo_type_anti_infantry	800700006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800700007
enable	nanu_ammo_type_anti_infantry_flaming	800700008
enable	nanu_ammo_type_anti_infantry_frozen	800700009
enable	nanu_ammo_type_anti_infantry_lightning	800700010
enable	nanu_ammo_type_anti_infantry_magic	800700011
enable	nanu_ammo_type_anti_infantry_poison	800700012
enable	nanu_ammo_type_anti_large	800700013
enable	nanu_ammo_type_anti_large_arcane_fire	800700014
enable	nanu_ammo_type_anti_large_flaming	800700015
enable	nanu_ammo_type_anti_large_frozen	800700016
enable	nanu_ammo_type_anti_large_lightning	800700017
enable	nanu_ammo_type_anti_large_magic	800700018
enable	nanu_ammo_type_anti_large_magic	800700019
enable	nanu_ammo_type_multi	800700020
enable	nanu_ammo_type_multi_arcane_fire	800700021
enable	nanu_ammo_type_multi_flaming	800700022
enable	nanu_ammo_type_multi_frozen	800700023
enable	nanu_ammo_type_multi_lightning	800700024
enable	nanu_ammo_type_multi_magic	800700025
enable	nanu_ammo_type_multi_poison	800700026
enable	nanu_ammo_type_seeking	800700027
enable	nanu_ammo_type_seeking_arcane_fire	800700028
enable	nanu_ammo_type_seeking_flaming	800700029
enable	nanu_ammo_type_seeking_frozen	800700030
enable	nanu_ammo_type_seeking_lightning	800700031
enable	nanu_ammo_type_seeking_magic	800700032
enable	nanu_ammo_type_seeking_poison	800700033
enable	nanu_ammo_type_arcane_fire	800700034
enable	nanu_ammo_type_flaming	800700035
enable	nanu_ammo_type_frozen	800700036
enable	nanu_ammo_type_lightning	800700037
enable	nanu_ammo_type_magic	800700038
enable	nanu_ammo_type_poison	800700039
enable	nanu_ammo_type_anti_infantry	800700040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800700041
enable	nanu_ammo_type_anti_infantry_flaming	800700042
enable	nanu_ammo_type_anti_infantry_frozen	800700043
enable	nanu_ammo_type_anti_infantry_lightning	800700044
enable	nanu_ammo_type_anti_infantry_magic	800700045
enable	nanu_ammo_type_anti_infantry_poison	800700046
enable	nanu_ammo_type_anti_large	800700047
enable	nanu_ammo_type_anti_large_arcane_fire	800700048
enable	nanu_ammo_type_anti_large_flaming	800700049
enable	nanu_ammo_type_anti_large_frozen	800700050
enable	nanu_ammo_type_anti_large_lightning	800700051
enable	nanu_ammo_type_anti_large_magic	800700052
enable	nanu_ammo_type_anti_large_magic	800700053
enable	nanu_ammo_type_multi	800700054
enable	nanu_ammo_type_multi_arcane_fire	800700055
enable	nanu_ammo_type_multi_flaming	800700056
enable	nanu_ammo_type_multi_frozen	800700057
enable	nanu_ammo_type_multi_lightning	800700058
enable	nanu_ammo_type_multi_magic	800700059
enable	nanu_ammo_type_multi_poison	800700060
enable	nanu_ammo_type_seeking	800700061
enable	nanu_ammo_type_seeking_arcane_fire	800700062
enable	nanu_ammo_type_seeking_flaming	800700063
enable	nanu_ammo_type_seeking_frozen	800700064
enable	nanu_ammo_type_seeking_lightning	800700065
enable	nanu_ammo_type_seeking_magic	800700066
enable	nanu_ammo_type_seeking_poison	800700067
enable	nanu_ammo_type_arcane_fire	800700068
enable	nanu_ammo_type_flaming	800700069
enable	nanu_ammo_type_frozen	800700070
enable	nanu_ammo_type_lightning	800700071
enable	nanu_ammo_type_magic	800700072
enable	nanu_ammo_type_poison	800700073
enable	nanu_ammo_type_anti_infantry	800700074
enable	nanu_ammo_type_anti_infantry_arcane_fire	800700075
enable	nanu_ammo_type_anti_infantry_flaming	800700076
enable	nanu_ammo_type_anti_infantry_frozen	800700077
enable	nanu_ammo_type_anti_infantry_lightning	800700078
enable	nanu_ammo_type_anti_infantry_magic	800700079
enable	nanu_ammo_type_anti_infantry_poison	800700080
enable	nanu_ammo_type_anti_large	800700081
enable	nanu_ammo_type_anti_large_arcane_fire	800700082
enable	nanu_ammo_type_anti_large_flaming	800700083
enable	nanu_ammo_type_anti_large_frozen	800700084
enable	nanu_ammo_type_anti_large_lightning	800700085
enable	nanu_ammo_type_anti_large_magic	800700086
enable	nanu_ammo_type_anti_large_magic	800700087
enable	nanu_ammo_type_multi	800700088
enable	nanu_ammo_type_multi_arcane_fire	800700089
enable	nanu_ammo_type_multi_flaming	800700090
enable	nanu_ammo_type_multi_frozen	800700091
enable	nanu_ammo_type_multi_lightning	800700092
enable	nanu_ammo_type_multi_magic	800700093
enable	nanu_ammo_type_multi_poison	800700094
enable	nanu_ammo_type_seeking	800700095
enable	nanu_ammo_type_seeking_arcane_fire	800700096
enable	nanu_ammo_type_seeking_flaming	800700097
enable	nanu_ammo_type_seeking_frozen	800700098
enable	nanu_ammo_type_seeking_lightning	800700099
enable	nanu_ammo_type_seeking_magic	800700100
enable	nanu_ammo_type_seeking_poison	800700101
enable	nanu_ammo_type_arcane_fire	800700102
enable	nanu_ammo_type_flaming	800700103
enable	nanu_ammo_type_frozen	800700104
enable	nanu_ammo_type_lightning	800700105
enable	nanu_ammo_type_magic	800700106
enable	nanu_ammo_type_poison	800700107
enable	nanu_ammo_type_anti_infantry	800700108
enable	nanu_ammo_type_anti_infantry_arcane_fire	800700109
enable	nanu_ammo_type_anti_infantry_flaming	800700110
enable	nanu_ammo_type_anti_infantry_frozen	800700111
enable	nanu_ammo_type_anti_infantry_lightning	800700112
enable	nanu_ammo_type_anti_infantry_magic	800700113
enable	nanu_ammo_type_anti_infantry_poison	800700114
enable	nanu_ammo_type_anti_large	800700115
enable	nanu_ammo_type_anti_large_arcane_fire	800700116
