bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_hef		
enable	nanu_ammo_type_arcane_fire	800710000
enable	nanu_ammo_type_flaming	800710001
enable	nanu_ammo_type_frozen	800710002
enable	nanu_ammo_type_lightning	800710003
enable	nanu_ammo_type_magic	800710004
enable	nanu_ammo_type_poison	800710005
enable	nanu_ammo_type_anti_infantry	800710006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800710007
enable	nanu_ammo_type_anti_infantry_flaming	800710008
enable	nanu_ammo_type_anti_infantry_frozen	800710009
enable	nanu_ammo_type_anti_infantry_lightning	800710010
enable	nanu_ammo_type_anti_infantry_magic	800710011
enable	nanu_ammo_type_anti_infantry_poison	800710012
enable	nanu_ammo_type_anti_large	800710013
enable	nanu_ammo_type_anti_large_arcane_fire	800710014
enable	nanu_ammo_type_anti_large_flaming	800710015
enable	nanu_ammo_type_anti_large_frozen	800710016
enable	nanu_ammo_type_anti_large_lightning	800710017
enable	nanu_ammo_type_anti_large_magic	800710018
enable	nanu_ammo_type_anti_large_poison	800710019
enable	nanu_ammo_type_multi	800710020
enable	nanu_ammo_type_multi_arcane_fire	800710021
enable	nanu_ammo_type_multi_flaming	800710022
enable	nanu_ammo_type_multi_frozen	800710023
enable	nanu_ammo_type_multi_lightning	800710024
enable	nanu_ammo_type_multi_magic	800710025
enable	nanu_ammo_type_multi_poison	800710026
enable	nanu_ammo_type_seeking	800710027
enable	nanu_ammo_type_seeking_arcane_fire	800710028
enable	nanu_ammo_type_seeking_flaming	800710029
enable	nanu_ammo_type_seeking_frozen	800710030
enable	nanu_ammo_type_seeking_lightning	800710031
enable	nanu_ammo_type_seeking_magic	800710032
enable	nanu_ammo_type_seeking_poison	800710033
enable	nanu_ammo_type_arcane_fire	800710034
enable	nanu_ammo_type_flaming	800710035
enable	nanu_ammo_type_frozen	800710036
enable	nanu_ammo_type_lightning	800710037
enable	nanu_ammo_type_magic	800710038
enable	nanu_ammo_type_poison	800710039
enable	nanu_ammo_type_anti_infantry	800710040
enable	nanu_ammo_type_anti_infantry_arcane_fire	800710041
enable	nanu_ammo_type_anti_infantry_flaming	800710042
enable	nanu_ammo_type_anti_infantry_frozen	800710043
enable	nanu_ammo_type_anti_infantry_lightning	800710044
enable	nanu_ammo_type_anti_infantry_magic	800710045
enable	nanu_ammo_type_anti_infantry_poison	800710046
enable	nanu_ammo_type_anti_large	800710047
enable	nanu_ammo_type_anti_large_arcane_fire	800710048
enable	nanu_ammo_type_anti_large_flaming	800710049
enable	nanu_ammo_type_anti_large_frozen	800710050
enable	nanu_ammo_type_anti_large_lightning	800710051
enable	nanu_ammo_type_anti_large_magic	800710052
enable	nanu_ammo_type_anti_large_poison	800710053
enable	nanu_ammo_type_multi	800710054
