bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_ksl		
enable	nanu_ammo_type_arcane_fire	800720000
enable	nanu_ammo_type_flaming	800720001
enable	nanu_ammo_type_frozen	800720002
enable	nanu_ammo_type_lightning	800720003
enable	nanu_ammo_type_magic	800720004
enable	nanu_ammo_type_poison	800720005
enable	nanu_ammo_type_anti_infantry	800720006
enable	nanu_ammo_type_anti_infantry_arcane_fire	800720007
enable	nanu_ammo_type_anti_infantry_flaming	800720008
enable	nanu_ammo_type_anti_infantry_frozen	800720009
enable	nanu_ammo_type_anti_infantry_lightning	800720010
enable	nanu_ammo_type_anti_infantry_magic	800720011
enable	nanu_ammo_type_anti_infantry_poison	800720012
enable	nanu_ammo_type_anti_large	800720013
enable	nanu_ammo_type_anti_large_arcane_fire	800720014
enable	nanu_ammo_type_anti_large_flaming	800720015
enable	nanu_ammo_type_anti_large_frozen	800720016
enable	nanu_ammo_type_anti_large_lightning	800720017
enable	nanu_ammo_type_anti_large_magic	800720018
enable	nanu_ammo_type_anti_large_poison	800720019
enable	nanu_ammo_type_multi	800720020
enable	nanu_ammo_type_multi_arcane_fire	800720021
enable	nanu_ammo_type_multi_flaming	800720022
enable	nanu_ammo_type_multi_frozen	800720023
enable	nanu_ammo_type_multi_lightning	800720024
enable	nanu_ammo_type_multi_magic	800720025
enable	nanu_ammo_type_multi_poison	800720026
enable	nanu_ammo_type_seeking	800720027
enable	nanu_ammo_type_seeking_arcane_fire	800720028
enable	nanu_ammo_type_seeking_flaming	800720029
enable	nanu_ammo_type_seeking_frozen	800720030
enable	nanu_ammo_type_seeking_lightning	800720031
enable	nanu_ammo_type_seeking_magic	800720032
enable	nanu_ammo_type_seeking_poison	800720033
enable	nanu_ammo_type_arcane_fire	800720034
enable	nanu_ammo_type_flaming	800720035
enable	nanu_ammo_type_frozen	800720036
enable	nanu_ammo_type_lightning	800720037
enable	nanu_ammo_type_magic	800720038
enable	nanu_ammo_type_anti_infantry	800720039
enable	nanu_ammo_type_anti_infantry_arcane_fire	800720040
enable	nanu_ammo_type_anti_infantry_flaming	800720041
enable	nanu_ammo_type_anti_infantry_frozen	800720042
enable	nanu_ammo_type_anti_infantry_lightning	800720043
enable	nanu_ammo_type_anti_infantry_magic	800720044
enable	nanu_ammo_type_anti_large	800720045
enable	nanu_ammo_type_anti_large_arcane_fire	800720046
enable	nanu_ammo_type_anti_large_flaming	800720047
enable	nanu_ammo_type_anti_large_frozen	800720048
enable	nanu_ammo_type_anti_large_lightning	800720049
enable	nanu_ammo_type_anti_large_magic	800720050
enable	nanu_ammo_type_multi	800720051
enable	nanu_ammo_type_multi_arcane_fire	800720052
enable	nanu_ammo_type_multi_flaming	800720053
enable	nanu_ammo_type_multi_frozen	800720054
enable	nanu_ammo_type_multi_lightning	800720055
enable	nanu_ammo_type_multi_magic	800720056
enable	nanu_ammo_type_explosive	800720057
enable	nanu_ammo_type_explosive_arcane_fire	800720058
enable	nanu_ammo_type_explosive_flaming	800720059
enable	nanu_ammo_type_explosive_frozen	800720060
enable	nanu_ammo_type_explosive_lightning	800720061
enable	nanu_ammo_type_explosive_magic	800720062
enable	nanu_ammo_type_arcane_fire	800720063
enable	nanu_ammo_type_flaming	800720064
enable	nanu_ammo_type_frozen	800720065
enable	nanu_ammo_type_lightning	800720066
enable	nanu_ammo_type_magic	800720067
enable	nanu_ammo_type_anti_infantry	800720068
enable	nanu_ammo_type_anti_infantry_arcane_fire	800720069
enable	nanu_ammo_type_anti_infantry_flaming	800720070
enable	nanu_ammo_type_anti_infantry_frozen	800720071
enable	nanu_ammo_type_anti_infantry_lightning	800720072
enable	nanu_ammo_type_anti_infantry_magic	800720073
enable	nanu_ammo_type_anti_large	800720074
enable	nanu_ammo_type_anti_large_arcane_fire	800720075
enable	nanu_ammo_type_anti_large_flaming	800720076
enable	nanu_ammo_type_anti_large_frozen	800720077
enable	nanu_ammo_type_anti_large_lightning	800720078
enable	nanu_ammo_type_anti_large_magic	800720079
enable	nanu_ammo_type_multi	800720080
enable	nanu_ammo_type_multi_arcane_fire	800720081
enable	nanu_ammo_type_multi_flaming	800720082
enable	nanu_ammo_type_multi_frozen	800720083
enable	nanu_ammo_type_multi_lightning	800720084
enable	nanu_ammo_type_multi_magic	800720085
enable	nanu_ammo_type_seeking	800720086
enable	nanu_ammo_type_seeking_arcane_fire	800720087
enable	nanu_ammo_type_seeking_flaming	800720088
enable	nanu_ammo_type_seeking_frozen	800720089
enable	nanu_ammo_type_seeking_lightning	800720090
enable	nanu_ammo_type_seeking_magic	800720091
enable	nanu_ammo_type_arcane_fire	800720092
enable	nanu_ammo_type_flaming	800720093
enable	nanu_ammo_type_frozen	800720094
enable	nanu_ammo_type_lightning	800720095
enable	nanu_ammo_type_magic	800720096
enable	nanu_ammo_type_poison	800720097
enable	nanu_ammo_type_anti_infantry	800720098
enable	nanu_ammo_type_anti_infantry_arcane_fire	800720099
enable	nanu_ammo_type_anti_infantry_flaming	800720100
enable	nanu_ammo_type_anti_infantry_frozen	800720101
enable	nanu_ammo_type_anti_infantry_lightning	800720102
enable	nanu_ammo_type_anti_infantry_magic	800720103
enable	nanu_ammo_type_anti_infantry_poison	800720104
enable	nanu_ammo_type_anti_large	800720105
enable	nanu_ammo_type_anti_large_arcane_fire	800720106
enable	nanu_ammo_type_anti_large_flaming	800720107
enable	nanu_ammo_type_anti_large_frozen	800720108
enable	nanu_ammo_type_anti_large_lightning	800720109
enable	nanu_ammo_type_anti_large_magic	800720110
enable	nanu_ammo_type_anti_large_poison	800720111
enable	nanu_ammo_type_multi	800720112
enable	nanu_ammo_type_multi_arcane_fire	800720113
enable	nanu_ammo_type_multi_flaming	800720114
enable	nanu_ammo_type_multi_frozen	800720115
enable	nanu_ammo_type_multi_lightning	800720116
enable	nanu_ammo_type_multi_magic	800720117
enable	nanu_ammo_type_multi_poison	800720118
enable	nanu_ammo_type_seeking	800720119
enable	nanu_ammo_type_seeking_arcane_fire	800720120
enable	nanu_ammo_type_seeking_flaming	800720121
enable	nanu_ammo_type_seeking_frozen	800720122
enable	nanu_ammo_type_seeking_lightning	800720123
enable	nanu_ammo_type_seeking_magic	800720124
enable	nanu_ammo_type_seeking_poison	800720125
enable	nanu_ammo_type_anti_large	800720126
enable	nanu_ammo_type_anti_infantry	800720127
enable	nanu_ammo_type_seeking	800720128
enable	nanu_ammo_type_multi_magic	800720129
enable	nanu_ammo_type_anti_large	800720130
enable	nanu_ammo_type_anti_infantry	800720131
enable	nanu_ammo_type_seeking	800720132
enable	nanu_ammo_type_multi_magic	800720133
enable	nanu_ammo_type_arcane_fire	800720134
enable	nanu_ammo_type_flaming	800720135
enable	nanu_ammo_type_frozen	800720136
enable	nanu_ammo_type_lightning	800720137
enable	nanu_ammo_type_magic	800720138
enable	nanu_ammo_type_poison	800720139
enable	nanu_ammo_type_anti_infantry	800720140
enable	nanu_ammo_type_anti_infantry_arcane_fire	800720141
enable	nanu_ammo_type_anti_infantry_flaming	800720142
enable	nanu_ammo_type_anti_infantry_frozen	800720143
enable	nanu_ammo_type_anti_infantry_lightning	800720144
enable	nanu_ammo_type_anti_infantry_magic	800720145
