bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_lzd		
enable	nanu_ammo_type_arcane_fire	800730000
enable	nanu_ammo_type_flaming	800730001
enable	nanu_ammo_type_lightning	800730002
enable	nanu_ammo_type_magic	800730003
enable	nanu_ammo_type_anti_infantry	800730004
enable	nanu_ammo_type_anti_infantry_arcane_fire	800730005
enable	nanu_ammo_type_anti_infantry_flaming	800730006
enable	nanu_ammo_type_anti_infantry_lightning	800730007
enable	nanu_ammo_type_anti_infantry_flaming	800730008
enable	nanu_ammo_type_anti_large	800730009
enable	nanu_ammo_type_anti_large_arcane_fire	800730010
enable	nanu_ammo_type_anti_large_flaming	800730011
enable	nanu_ammo_type_anti_large_lightning	800730012
enable	nanu_ammo_type_anti_large_magic	800730013
enable	nanu_ammo_type_arcane_fire	800730014
enable	nanu_ammo_type_flaming	800730015
enable	nanu_ammo_type_lightning	800730016
enable	nanu_ammo_type_magic	800730017
enable	nanu_ammo_type_anti_infantry	800730018
enable	nanu_ammo_type_anti_infantry_arcane_fire	800730019
enable	nanu_ammo_type_anti_infantry_flaming	800730020
enable	nanu_ammo_type_anti_infantry_lightning	800730021
enable	nanu_ammo_type_anti_infantry_flaming	800730022
enable	nanu_ammo_type_anti_large	800730023
enable	nanu_ammo_type_anti_large_arcane_fire	800730024
enable	nanu_ammo_type_anti_large_flaming	800730025
enable	nanu_ammo_type_anti_large_lightning	800730026
enable	nanu_ammo_type_anti_large_magic	800730027
enable	nanu_ammo_type_arcane_fire	800730028
enable	nanu_ammo_type_flaming	800730029
enable	nanu_ammo_type_lightning	800730030
enable	nanu_ammo_type_magic	800730031
enable	nanu_ammo_type_anti_infantry	800730032
enable	nanu_ammo_type_anti_infantry_arcane_fire	800730033
enable	nanu_ammo_type_anti_infantry_flaming	800730034
enable	nanu_ammo_type_anti_infantry_lightning	800730035
enable	nanu_ammo_type_anti_infantry_flaming	800730036
enable	nanu_ammo_type_anti_large	800730037
enable	nanu_ammo_type_anti_large_arcane_fire	800730038
enable	nanu_ammo_type_anti_large_flaming	800730039
enable	nanu_ammo_type_anti_large_lightning	800730040
enable	nanu_ammo_type_anti_large_magic	800730041
enable	nanu_ammo_type_arcane_fire	800730042
enable	nanu_ammo_type_flaming	800730043
enable	nanu_ammo_type_lightning	800730044
enable	nanu_ammo_type_magic	800730045
enable	nanu_ammo_type_anti_infantry	800730046
enable	nanu_ammo_type_anti_infantry_arcane_fire	800730047
enable	nanu_ammo_type_anti_infantry_flaming	800730048
enable	nanu_ammo_type_anti_infantry_lightning	800730049
enable	nanu_ammo_type_anti_infantry_flaming	800730050
enable	nanu_ammo_type_anti_large	800730051
enable	nanu_ammo_type_anti_large_arcane_fire	800730052
