bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_ogr		
enable	nanu_ammo_type_arcane_fire	800750000
enable	nanu_ammo_type_flaming	800750001
enable	nanu_ammo_type_frozen	800750002
enable	nanu_ammo_type_lightning	800750003
enable	nanu_ammo_type_magic	800750004
enable	nanu_ammo_type_poison	800750005
enable	nanu_ammo_type_anti_large	800750006
enable	nanu_ammo_type_anti_large_arcane_fire	800750007
enable	nanu_ammo_type_anti_large_flaming	800750008
enable	nanu_ammo_type_anti_large_frozen	800750009
enable	nanu_ammo_type_anti_large_lightning	800750010
enable	nanu_ammo_type_anti_large_magic	800750011
enable	nanu_ammo_type_anti_large_poison	800750012
enable	nanu_ammo_type_multi	800750013
enable	nanu_ammo_type_multi_arcane_fire	800750014
enable	nanu_ammo_type_multi_flaming	800750015
enable	nanu_ammo_type_multi_frozen	800750016
enable	nanu_ammo_type_multi_lightning	800750017
enable	nanu_ammo_type_multi_magic	800750018
enable	nanu_ammo_type_multi_poison	800750019
enable	nanu_ammo_type_anti_infantry	800750013
enable	nanu_ammo_type_anti_infantry_arcane_fire	800750014
enable	nanu_ammo_type_anti_infantry_flaming	800750015
enable	nanu_ammo_type_anti_infantry_frozen	800750016
enable	nanu_ammo_type_anti_infantry_lightning	800750017
enable	nanu_ammo_type_anti_infantry_magic	800750018
enable	nanu_ammo_type_anti_infantry_poison	800750019
enable	nanu_ammo_type_arcane_fire	800750020
enable	nanu_ammo_type_flaming	800750021
enable	nanu_ammo_type_frozen	800750022
enable	nanu_ammo_type_lightning	800750023
enable	nanu_ammo_type_magic	800750024
enable	nanu_ammo_type_poison	800750025
enable	nanu_ammo_type_arcane_fire	800750026
enable	nanu_ammo_type_flaming	800750027
enable	nanu_ammo_type_frozen	800750028
enable	nanu_ammo_type_lightning	800750029
enable	nanu_ammo_type_magic	800750030
enable	nanu_ammo_type_poison	800750031
enable	nanu_ammo_type_arcane_fire	800750032
enable	nanu_ammo_type_flaming	800750033
enable	nanu_ammo_type_frozen	800750034
enable	nanu_ammo_type_lightning	800750035
enable	nanu_ammo_type_magic	800750036
enable	nanu_ammo_type_poison	800750037
enable	nanu_ammo_type_arcane_fire	800750038
enable	nanu_ammo_type_flaming	800750039
enable	nanu_ammo_type_frozen	800750040
enable	nanu_ammo_type_lightning	800750041
enable	nanu_ammo_type_magic	800750042
enable	nanu_ammo_type_poison	800750043
enable	nanu_ammo_type_anti_large	800750044
enable	nanu_ammo_type_anti_large_arcane_fire	800750045
enable	nanu_ammo_type_anti_large_flaming	800750046
enable	nanu_ammo_type_anti_large_frozen	800750047
enable	nanu_ammo_type_anti_large_lightning	800750048
enable	nanu_ammo_type_anti_large_magic	800750049
enable	nanu_ammo_type_anti_large_poison	800750050
enable	nanu_ammo_type_multi	800750051
enable	nanu_ammo_type_multi_arcane_fire	800750052
enable	nanu_ammo_type_multi_flaming	800750053
enable	nanu_ammo_type_multi_frozen	800750054
enable	nanu_ammo_type_multi_lightning	800750055
enable	nanu_ammo_type_multi_magic	800750056
enable	nanu_ammo_type_multi_poison	800750057
enable	nanu_ammo_type_anti_infantry	800750051
enable	nanu_ammo_type_anti_infantry_arcane_fire	800750052
enable	nanu_ammo_type_anti_infantry_flaming	800750053
enable	nanu_ammo_type_anti_infantry_frozen	800750054
enable	nanu_ammo_type_anti_infantry_lightning	800750055
enable	nanu_ammo_type_anti_infantry_magic	800750056
enable	nanu_ammo_type_anti_infantry_poison	800750057
