bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/nanu_dynamic_rors_skv		
enable	nanu_ammo_type_arcane_fire	800760000
enable	nanu_ammo_type_flaming	800760001
enable	nanu_ammo_type_arcane_fire	800760002
enable	nanu_ammo_type_flaming	800760003
enable	nanu_ammo_type_anti_infantry	800760004
enable	nanu_ammo_type_anti_infantry_arcane_fire	800760005
enable	nanu_ammo_type_anti_infantry_flaming	800760006
enable	nanu_ammo_type_anti_large	800760007
enable	nanu_ammo_type_anti_large_arcane_fire	800760008
enable	nanu_ammo_type_anti_large_flaming	800760009
enable	nanu_ammo_type_seeking	800760010
enable	nanu_ammo_type_seeking_arcane_fire	800760011
enable	nanu_ammo_type_seeking_flaming	800760012
enable	nanu_ammo_type_lightning	800760014
enable	nanu_ammo_type_multi	800760015
enable	nanu_ammo_type_multi_arcane_fire	800760016
enable	nanu_ammo_type_multi_flaming	800760021
enable	nanu_ammo_type_multi_flaming	800760016
enable	nanu_ammo_type_multi_lightning	800760017
enable	nanu_ammo_type_arcane_fire	800760018
enable	nanu_ammo_type_flaming	800760018
enable	nanu_ammo_type_lightning	800760019
enable	nanu_ammo_type_multi	800760023
enable	nanu_ammo_type_multi	800760020
enable	nanu_ammo_type_multi_arcane_fire	800760021
enable	nanu_ammo_type_multi_lightning	800760022
enable	nanu_ammo_type_seeking	800760024
enable	nanu_ammo_type_flaming	800760025
enable	nanu_ammo_type_lightning	800760026
enable	nanu_ammo_type_arcane_fire	800760027
enable	nanu_ammo_type_flaming	800760028
enable	nanu_ammo_type_lightning	800760029
enable	nanu_ammo_type_magic	800760030
enable	nanu_ammo_type_poison	800760031
enable	nanu_ammo_type_anti_infantry	800760032
enable	nanu_ammo_type_anti_infantry_arcane_fire	800760033
enable	nanu_ammo_type_anti_infantry_flaming	800760034
enable	nanu_ammo_type_anti_infantry_lightning	800760035
enable	nanu_ammo_type_anti_infantry_magic	800760036
enable	nanu_ammo_type_anti_infantry_poison	800760037
enable	nanu_ammo_type_anti_large	800760038
enable	nanu_ammo_type_anti_large_arcane_fire	800760039
enable	nanu_ammo_type_anti_large_flaming	800760040
enable	nanu_ammo_type_anti_large_lightning	800760041
enable	nanu_ammo_type_anti_large_magic	800760042
enable	nanu_ammo_type_anti_large_poison	800760043
enable	nanu_ammo_type_arcane_fire	800760044
enable	nanu_ammo_type_flaming	800760045
enable	nanu_ammo_type_lightning	800760046
enable	nanu_ammo_type_magic	800760047
enable	nanu_ammo_type_poison	800760048
enable	nanu_ammo_type_anti_infantry	800760049
enable	nanu_ammo_type_anti_infantry_arcane_fire	800760050
enable	nanu_ammo_type_anti_infantry_flaming	800760051
enable	nanu_ammo_type_anti_infantry_lightning	800760052
enable	nanu_ammo_type_anti_infantry_magic	800760053
enable	nanu_ammo_type_anti_infantry_poison	800760054
enable	nanu_ammo_type_anti_large	800760055
enable	nanu_ammo_type_anti_large_arcane_fire	800760056
enable	nanu_ammo_type_anti_large_flaming	800760057
enable	nanu_ammo_type_anti_large_lightning	800760058
enable	nanu_ammo_type_anti_large_magic	800760059
enable	nanu_ammo_type_anti_large_poison	800760060
enable	nanu_ammo_type_arcane_fire	800760061
enable	nanu_ammo_type_flaming	800760062
enable	nanu_ammo_type_lightning	800760063
enable	nanu_ammo_type_magic	800760064
enable	nanu_ammo_type_poison	800760065
enable	nanu_ammo_type_anti_infantry	800760066
enable	nanu_ammo_type_anti_infantry_arcane_fire	800760067
enable	nanu_ammo_type_anti_infantry_flaming	800760068
enable	nanu_ammo_type_anti_infantry_lightning	800760069
enable	nanu_ammo_type_anti_infantry_magic	800760070
enable	nanu_ammo_type_anti_infantry_poison	800760071
enable	nanu_ammo_type_anti_large	800760072
enable	nanu_ammo_type_anti_large_arcane_fire	800760073
enable	nanu_ammo_type_anti_large_flaming	800760074
enable	nanu_ammo_type_anti_large_lightning	800760075
enable	nanu_ammo_type_anti_large_magic	800760076
enable	nanu_ammo_type_anti_large_poison	800760077
enable	nanu_ammo_type_multi	800760078
enable	nanu_ammo_type_multi_arcane_fire	800760079
enable	nanu_ammo_type_multi_flaming	800760080
enable	nanu_ammo_type_multi_lightning	800760081
enable	nanu_ammo_type_multi_magic	800760082
enable	nanu_ammo_type_multi_poison	800760083
enable	nanu_ammo_type_arcane_fire	800760084
enable	nanu_ammo_type_flaming	800760085
enable	nanu_ammo_type_lightning	800760086
enable	nanu_ammo_type_magic	800760087
enable	nanu_ammo_type_poison	800760088
enable	nanu_ammo_type_anti_infantry	800760089
enable	nanu_ammo_type_anti_infantry_arcane_fire	800760090
enable	nanu_ammo_type_anti_infantry_flaming	800760091
enable	nanu_ammo_type_anti_infantry_lightning	800760092
enable	nanu_ammo_type_anti_infantry_magic	800760093
enable	nanu_ammo_type_anti_infantry_poison	800760094
enable	nanu_ammo_type_anti_large	800760095
enable	nanu_ammo_type_anti_large_arcane_fire	800760096
enable	nanu_ammo_type_anti_large_flaming	800760097
enable	nanu_ammo_type_anti_large_lightning	800760098
enable	nanu_ammo_type_anti_large_magic	800760099
enable	nanu_ammo_type_anti_large_poison	800760100
enable	nanu_ammo_type_multi	800760101
