key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/!!_nanu_dynamic_rors_NEW								
nanu_dynamic_ror_ability_all_arcane_blast			character	1		true	false	true
nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_ability_all_frostfire_tempest			character	1		true	false	true
nanu_dynamic_ror_ability_all_frostfire_tempest_contact_frostfire_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_ability_all_frozen_tomb			character	1		true	false	true
nanu_dynamic_ror_ability_all_frozen_tomb_aoe			character	1		true	false	true
nanu_dynamic_ror_ability_all_tactical_mastery			character	1		true	false	true
nanu_dynamic_ror_ability_melee_clairvoyance_attribute_piercing_gaze			character	1		true	false	true
nanu_dynamic_ror_ability_melee_freezing_aura			character	1		true	false	true
nanu_dynamic_ror_ability_melee_soothing_warmth			character	1		true	false	true
nanu_dynamic_ror_attribute_all_piercing_gaze			character	1		true	false	true
nanu_dynamic_ror_attribute_melee_counter_charge			character	1		true	false	true
nanu_dynamic_ror_attribute_ranged_piercing_gaze_ammo_type_seeking			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_all_field_medic_encourage			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_all_unstable_winds_barrier_boost			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_aura_of_rust			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_beacon_of_hope			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_crowfeast			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_holy_aura			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_horrible_regeneration			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_miasma_of_dispair_attribute_stalk			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_regeneration			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_resplendent_armour			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_strength_from_flesh			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_perfect_vigour_strider			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_wayfarer_strider_vanguard			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_contaminated_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_corrosive_attacks			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_cursed_attacks			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_entropic_attacks			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_entropic_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_toxic_sludge_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_all_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_all_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_all_withering_heat_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_melee_crowfeast			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_melee_miasma_of_dispair_attribute_stalk_vanguard			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_melee_run_them_down			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_melee_withering_heat_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_hawkish_precision			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_slippery_attribute_stalk_vanguard_snipe			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_volley_piercing_greater_slippery_attribute_stalk_vanguard			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_volley_piercing_slippery_attribute_stalk_vanguard			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_volley_poison_attribute_stalk_vanguard_contact_potent_poison_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_ability_ranged_volley_poison_greater_attribute_stalk_vanguard_contact_potent_poison_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_attribute_all_perfect_vigour			character	1		true	false	true
nanu_dynamic_ror_climate_desert_attribute_melee_devastating_flanker			character	1		true	false	true
nanu_dynamic_ror_climate_desert_attribute_melee_flanker_vanguard			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_deadly_poison_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_potent_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_rampaging_poison_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_climate_desert_contact_all_virulent_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_biting_wind			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_biting_wind_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_biting_wind_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_biting_wind_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_blizzard			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_blizzard_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_blizzard_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_blizzard_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_frostfire_tempest			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_frozen_tomb			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_frozen_tomb_aoe			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_hailstorm			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_hailstorm_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_hailstorm_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_hailstorm_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_heart_of_winter			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_heart_of_winter_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_heart_of_winter_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_heart_of_winter_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_ice_sheet			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_ice_sheet_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_ice_sheet_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_all_ice_sheet_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_melee_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_melee_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_melee_relentless_assault_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_melee_rowdy			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_melee_soothing_warmth			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_greater			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_greater_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_greater_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_greater_contact_frostbite_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast_greater			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast_greater_contact_deathfrost_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_ability_single_entity_glacial_blast_greater_contact_freezing_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_contact_all_freezing_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_contact_all_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_contact_all_frostfire_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_death_explosion_all_frozen_blast			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_death_explosion_all_frozen_blast_contact_freezing_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_death_explosion_all_frozen_blast_contact_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_climate_frozen_death_explosion_all_frozen_tempest			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_field_medic_encourage_woodsman			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman_contact_disorienting_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman_contact_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_trap_woodsman			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_trap_woodsman_contact_disorienting_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_all_hunter_trap_woodsman_contact_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_powder_hawkish_precision_woodsman_contact_blinding_attacks			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_blinding_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_deadly_poison_attacks_ammo_type_poison			character	1		true	false	true
