key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors								
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_basic_artillery_1			character	1		true	false	true
nanu_dynamic_ror_basic_artillery_2			character	1		true	false	true
nanu_dynamic_ror_basic_artillery_3			character	1		true	false	true
nanu_dynamic_ror_basic_cavalry_1			character	1		true	false	true
nanu_dynamic_ror_basic_cavalry_2			character	1		true	false	true
nanu_dynamic_ror_basic_cavalry_3			character	1		true	false	true
nanu_dynamic_ror_basic_elite_1			character	1		true	false	true
nanu_dynamic_ror_basic_elite_2			character	1		true	false	true
nanu_dynamic_ror_basic_elite_3			character	1		true	false	true
nanu_dynamic_ror_basic_melee_1			character	1		true	false	true
nanu_dynamic_ror_basic_melee_2			character	1		true	false	true
nanu_dynamic_ror_basic_melee_3			character	1		true	false	true
nanu_dynamic_ror_basic_melee_bonus_vs_large_1			character	1		true	false	true
nanu_dynamic_ror_basic_melee_bonus_vs_large_2			character	1		true	false	true
nanu_dynamic_ror_basic_melee_bonus_vs_large_3			character	1		true	false	true
nanu_dynamic_ror_basic_monster_1			character	1		true	false	true
nanu_dynamic_ror_basic_monster_2			character	1		true	false	true
nanu_dynamic_ror_basic_monster_3			character	1		true	false	true
nanu_dynamic_ror_basic_ranged_1			character	1		true	false	true
nanu_dynamic_ror_basic_ranged_2			character	1		true	false	true
nanu_dynamic_ror_basic_ranged_3			character	1		true	false	true
nanu_dynamic_ror_basic_single_entity_1			character	1		true	false	true
nanu_dynamic_ror_basic_single_entity_2			character	1		true	false	true
nanu_dynamic_ror_basic_single_entity_3			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_healing			character	1		true	false	true
nanu_dynamic_ror_ability_all_aura_of_hexing			character	1		true	false	true
nanu_dynamic_ror_ability_all_barrier_boost			character	1		true	false	true
nanu_dynamic_ror_ability_all_chain_lightining_urannons_thunderbolt			character	1		true	false	true
nanu_dynamic_ror_ability_all_chain_lightning			character	1		true	false	true
nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_ability_all_ensorcelled_weapons_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_ability_all_field_medic_encourage			character	1		true	false	true
nanu_dynamic_ror_ability_all_hunter_snare			character	1		true	false	true
nanu_dynamic_ror_ability_all_hunter_trap			character	1		true	false	true
nanu_dynamic_ror_ability_all_magma_storm			character	1		true	false	true
nanu_dynamic_ror_ability_all_searing_doom			character	1		true	false	true
nanu_dynamic_ror_ability_all_unstable_winds			character	1		true	false	true
nanu_dynamic_ror_ability_all_urannons_thunderbolt			character	1		true	false	true
nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_ability_melee_aura_of_blood			character	1		true	false	true
