key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_brt								
nanu_dynamic_ror_bretonnia_special_dwarf_ally_contact_trebuchet_ammo_type_explosive			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_living_saint_blessing_of_the_lady_attribute_perfect_vigour_immPsy_contact_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_blessing_of_the_lady			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_courage_in_death			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_heroic_charge			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_ally_melee_attribute_impetuous_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_crushing_attacks_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_dazed_attacks_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_entangling_attacks_bonus_vs_large_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_frostbite_magic_attacks_ammo_type_anti_large_frozen			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_searing_flaming_attacks_ammo_type_anti_large_flaming			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_all_contact_toxic_sludge_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_charge_breaker_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_colossal_strike_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_frenzied_charge_bonus_vs_large_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_immaculate_charge_bonus_vs_large_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_knightslayer_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_ability_undaunted_immPsy_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_attribute_brace			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_attribute_glorius_charge			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_melee_attribute_glorius_charge_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_powder_ability_firing_line_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_powder_ability_firing_line_aoe_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_expert_skirmisher_contact_suppressed_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_hawkish_precision_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_barbed_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_barbed_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_fire_charge_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_fire_charge_greater_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_anti_large_frozen			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_ice_shard_greater_contact_frostbite_magic_attacks_ammo_type_anti_large_frozen			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_piercing_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_piercing_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_poison_contact_potent_poison_ammo_type_anti_large_poison			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_ability_volley_poison_greater_contact_potent_poison_ammo_type_anti_large_poison			character	1		true	false	true
nanu_dynamic_ror_special_bretonnia_enemy_ranged_contact_suppressed_ammo_type_anti_large			character	1		true	false	true
