key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_bst								
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_dazed_attacks			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_disorienting_attacks			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_aura_of_blood			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_aura_of_protection			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_aura_of_warding			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_bathed_in_blood			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_attribute_brace_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_charge_breaker_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_charge_breaker_bonus_vs_large_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_colossal_strike_bonus_vs_large_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_courage_in_death_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_dread_aversion			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_frenzy_attribute_immPsy_perfect_vigour			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_heroic_charge_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_hold_the_line_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_undeath_resurgent			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_valiant_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_vengeful_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_vicious_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_melee_ability_violent_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_all_contact_entangling_attacks_bonus_vs_large_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_slippery_attribute_stalk_vanguard_woodsman			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_slippery_attribute_stalk_vanguard_woodsman_snipe			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_barbed_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_barbed_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_fire_charge_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_fire_charge_greater_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_flaming_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_ability_volley_flaming_greater_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_beastmen_enemy_ranged_contact_suppressed_flaming_attacks_ammo_type_flaming			character	1		true	false	true
