key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_chd								
nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_chorf_ability_all_sadistic_snare			character	1		true	false	true
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_chorf_ability_melee_armour_of_gazrakh			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_ability_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_contact_burning_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_contact_searing_flaming_attacks_ammo_type_explosive_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_all_ensorcelled_weapons_flaming_contact_searing_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_melee_ability_crush_the_weak			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_powder_ability_entrench_contact_searing_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_powder_ability_firing_line_aoe_contact_searing_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_powder_ability_firing_line_contact_searing_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_all_ability_aura_of_shielding			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_all_ability_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_frenzied_charge			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_frenzied_charge_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_heroic_charge			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_heroic_charge_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_holy_aura			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_monstrous_strength_bonus_vs_infantry_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_murderous_charge_bonus_vs_infantry_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_murderous_charge_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_undeath_resurgent			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_unstoppable_charge_bonus_vs_infantry_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_unstoppable_charge_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_valiant_war_cry_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_vengeful_war_cry_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_vicious_war_cry_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_melee_ability_violent_war_cry_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_powder_entrench			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_powder_firing_line_aoe_contact_armour_destruction_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_powder_firing_line_contact_armour_destruction_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ammo_type_explosive			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ammo_type_explosive_contact_armour_destruction			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_contact_shieldbreaker_attacks_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_hawkish_precision_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_fire_charge_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_fire_charge_greater_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_anti_infantry_frozen			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_ice_shard_greater_contact_frostbite_magic_attacks_ammo_type_anti_infantry_frozen			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_piercing_contact_armour_destruction_attacks_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_enemy_ranged_ability_volley_piercing_greater_contact_armour_destruction_attacks_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_melee_armour_of_gazrakh			character	1		true	false	true
nanu_dynamic_ror_special_chorf_ally_melee_chaos_armour			character	1		true	false	true
