key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_chs								
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught			character	1		true	false	true
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength			character	1		true	false	true
nanu_dynamic_ror_chaos_ability_melee_aether_sword			character	1		true	false	true
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy			character	1		true	false	true
nanu_dynamic_ror_chaos_ability_melee_soulscent			character	1		true	false	true
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_chaos_ally_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_aura_of_rust			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_aura_of_warding_attribute_encourage			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_bathed_in_blood			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_beacon_of_hope			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_colossal_strike_bonus_vs_large_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_blinding_radiance			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_attribute_brace			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_clairvoyance			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_courage_in_death_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_deadly_onslaught			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_ever_burning_light_contact_blinding			character	1		true	false	true
nanu_dynamic_ror_special_chaos_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
