key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_cst								
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_immaculate_charge			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_murderous_charge			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_unstoppable_charge			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_powder_ability_entrench			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_powder_ability_firing_line			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_powder_ability_firing_line_aoe			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_volley_fire_charge			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_volley_fire_charge_greater			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_volley_flaming			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_ability_volley_flaming_greater			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_contact_burning_flaming_attacks_ammo_type_multi_flaming			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_contact_blinding_attacks			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_contact_blinding_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_vampire_coast_enemy_ranged_flaming_attacks_ammo_type_explosive_flaming			character	1		true	false	true
