key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_def								
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_chaos_armour_attribute_ogre_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_colossal_strike_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_unstoppable_rampage			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_blood_frenzy_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_frenzied_charge_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_heroic_charge_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_hold_the_line_attribute_encourage_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_immaculate_charge_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_murderous_charge_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_resplendent_armour_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_stand_or_die_attribute_encourage_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_stand_your_ground_attribute_encourage_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_undaunted_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_unstoppable_charge_attribute_glorious_charge_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_valiant_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_vengeful_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_vicious_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_violent_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_powder_ability_entrench			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_powder_ability_firing_line_contact_shield_breaker			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_powder_ability_firing_line_aoe_contact_shield_breaker			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_ranged_ability_volley_fire_charge_contact_shield_breaker			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_ranged_ability_volley_fire_charge_greater_contact_shield_breaker			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_ranged_ammo_type_explosive			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_ranged_contact_suppressed_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_dark_elf_enemy_ranged_contact_shieldbreaker_ammo_type_multi			character	1		true	false	true
