key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_emp								
nanu_dynamic_ror_empire_ability_swordsmen_courage_in_death_bonus_vs_infantry			faction	1		true	false	true
nanu_dynamic_ror_empire_ability_swordsmen_valiant_war_cry_bonus_vs_infantry			faction	1		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_manann_amphibious_vanguard			character	29		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_myrmidia_unrelenting_assault_flaming_attacks_ammo_type_flaming			character	29		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_rhya_perfect_vigour			character	29		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_shallya_immune_to_contact			character	29		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_taal_woodsman_vanguard			character	29		true	false	true
nanu_dynamic_ror_empire_attribute_all_blessing_of_verena_immPsy_magic_attacks			character	29		true	false	true
nanu_dynamic_ror_empire_basic_archer_1			character	1		true	false	true
nanu_dynamic_ror_empire_basic_archer_2			character	1		true	false	true
nanu_dynamic_ror_empire_basic_archer_3			character	1		true	false	true
nanu_dynamic_ror_empire_basic_knight_1			character	1		true	false	true
nanu_dynamic_ror_empire_basic_knight_2			character	1		true	false	true
nanu_dynamic_ror_empire_basic_knight_3			character	1		true	false	true
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy			character	29		true	false	true
nanu_dynamic_ror_ability_empire_all_blessing_of_ranald_luck_of_ranald			character	29		true	false	true
nanu_dynamic_ror_empire_special_greatsword_bretonnia_enemy_ability_knightslayer_bonus_vs_large_expert_charge_defence			character	1		true	false	true
nanu_dynamic_ror_empire_special_greatsword_ogre_enemy_ability_colossal_strike_bonus_vs_large_expert_charge_defence			character	1		true	false	true
nanu_dynamic_ror_ability_empire_melee_special_blessing_of_sigmar_hammer_of_sigmar_attribute_immPsy			character	29		true	false	true
nanu_dynamic_ror_ability_empire_melee_blessing_of_ulric_frenzy_immPsy			character	29		true	false	true
nanu_dynamic_ror_empire_special_melee_lord_balthasar_gelt_ability_guardian_barrier_boost_mastery_of_the_winds			character	1		true	false	true
nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strengh_of_the_penitant_attribute_unbreakable			character	1		true	false	true
nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strength_of_the_penitent			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_melee_ability_courage_in_death			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_melee_ability_heroic_charge_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_empire_ally_powder_ability_firing_line			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_melee_ability_crowfeast_attribute_fear			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_melee_ability_crush_the_weak_attribute_fear			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_melee_ability_frenzied_charge_attribute_fear			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_powder_ability_entrench			character	1		true	false	true
nanu_dynamic_ror_special_empire_enemy_ranged_ability_hawkish_precision			character	1		true	false	true
