key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_grn								
nanu_dynamic_ror_greenskin_ability_all_fermented_fungi			character	1		true	false	true
nanu_dynamic_ror_greenskin_ability_melee_smash_em_faster			character	1		true	false	true
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_ally_all_ability_fermented_fungi			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_ally_melee_ability_waaagh			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_chaos_armour			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_colossal_strike_bonus_vs_large_contact_flaming_attacks_burning			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_bathed_in_blood			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_berserk_terrifying_rampage			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_blinding_radiance			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_attribute_brace			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_dread_aversion			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_heroic_charge			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_miasma_of_dispair			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_resplendent_armour			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_undeath_resurgent			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_expert_skirmisher_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_expert_skirmisher_contact_flaming_attacks_burning_ammo_type_anti_large_flaming			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_rapid_fire_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_rapid_fire_aoe_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_barbed_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_barbed_greater_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_fire_charge_contact_flaming_attacks_burning_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_fire_charge_greater_contact_flaming_attacks_burning_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_flaming_contact_flaming_attacks_burning_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_flaming_greater_contact_flaming_attacks_burning_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_ice_shard_contact_frosbite_attacks			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ability_volley_ice_shard_greater_contact_frosbite_attacks			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ammo_type_explosive			character	1		true	false	true
nanu_dynamic_ror_special_greenskin_enemy_ranged_ammo_type_explosive_flaming			character	1		true	false	true
