key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_hef								
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_murderous_charge_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_resplendent_armour			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_unstoppable_charge_attribute_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_powder_ability_entrench			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_enemy_ranged_hawkish_precision_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_ally_melee_ability_resplendent_armour			character	1		true	false	true
nanu_dynamic_ror_special_high_elf_ally_ranged_ability_unending_volley			character	1		true	false	true
