key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_kho								
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_bloodthirster_burning_rage_bellow_of_endless_fury			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_aura_of_blood_attribute_encourage			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_berserk_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_blade_of_khorne			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_blood_gods_rage			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_bloodgreed_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_bloodthirst_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_crush_the_weak_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_gorefeast			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_hellblade_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_relentless_assault_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_totem_of_endless_bloodletting			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_vicious_assault_attribute_encourage			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_melee_violent_war_cry_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_ability_monster_deathbringer			character	1		true	false	true
nanu_dynamic_ror_khorne_attribute_melee_fear_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_attribute_melee_immPsy_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_khorne_attribute_melee_special_daemonic_fear_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_aura_of_blood			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_berserk_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_crush_the_weak			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_deadly_onslaught			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_paragon_of_carnage			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_khorne_ally_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_all_contact_armour_destruction_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_all_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_aura_of_blood			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_bathed_in_blood			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_beacon_of_hope_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_colossal_strike_bonus_vs_large_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_courage_in_death_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_frenzy_attribute_immPsy_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_heroic_charge			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_hold_the_line_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_stand_or_die_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_stand_your_ground_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_melee_contact_sundering_attribute_immPsy_expert_charge_defence			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_slippery_attribute_stalk_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_slippery_attribute_stalk_vanguard_snipe			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_smokebomb			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_arcane_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_arcane_greater_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_ice_shard_greater_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_piercing			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ability_volley_piercing_greater			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_khorne_enemy_ranged_contact_armour_destruction_attacks			character	1		true	false	true
