key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_kis								
nanu_dynamic_ror_kislev_ability_melee_force_feed_kvas			character	1		true	false	true
nanu_dynamic_ror_kislev_ability_melee_kislev_unite			character	1		true	false	true
nanu_dynamic_ror_kislev_ability_melee_kvas_flasks			character	1		true	false	true
nanu_dynamic_ror_kislev_ability_ranged_cursed_frontier			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_greater_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_aura_of_rust			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_aura_of_shielding_attribute_immune_to_contact			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_colossal_strike_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_berserk			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_berserk_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_berserk_unstoppable_rampage			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_frenzied_charge			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_kvas_flasks			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_murderous_charge			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_ability_unstoppable_charge			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_powder_ability_firing_line			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_ranged_ability_expert_skirmisher_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_ranged_ability_hawkish_precision_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_ranged_ability_slippery_vanguard_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_ranged_ability_volley_piercing_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_ranged_ability_volley_piercing_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_attribute_fear			character	1		true	false	true
nanu_dynamic_ror_special_kislev_enemy_melee_attribute_terror			character	1		true	false	true
