key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_lzd								
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_urannons_thunderbolt_strider			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_strider			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_greater_strider			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_shield_of_the_old_ones			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_aura_of_ensorcelling_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_encorcolled_weapons_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_huanchi_from_the_mist_snipe			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_protection			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_quetzl			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_shielding			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_tepok_spellshield_aura			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_all_special_mark_of_the_terradon_flanker_vanguard			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_horn_of_kygor			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_special_blessing_of_chotec_blinding_radiance_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_carnosaur_frenzy_bonus_vs_large_attribute_causes_fear_glorious_charge			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_horned_one_ability_run_them_down_attribute_cause_fear			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_ripperdactyl_frenzy_bonus_vs_infantry_attribute_immPsy_devastating_flanker_vanguard			character	1		true	false	true
nanu_dynamic_ror_lizard_ability_melee_swiftness_of_itzl			character	1		true	false	true
nanu_dynamic_ror_lizard_attribute_melee_special_attribute_mark_of_the_cold_one_devastaing_flanker_strider_vanguard			character	1		true	false	true
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_bastiladon_flanking_immune			character	1		true	false	true
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_dread_saurian_causes_terror			character	1		true	false	true
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_stegadon_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_potent_poison			character	1		true	false	true
nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_virulent_poison			character	1		true	false	true
nanu_dynamic_ror_lizard_contact_all_slow_death			character	1		true	false	true
nanu_dynamic_ror_lizard_contact_all_special_mark_of_the_troglodon_virulent_poison_woodsman_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_ability_hunter_snare			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_ability_hunter_trap			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_aura_of_warding			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_clairvoyance			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_frenzied_charge			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_frenzy_immPsy			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_monstrous_strength_bonus_vs_infantry			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_melee_ability_unstoppable_charge			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_contact_poison_attacks_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_contact_potent_poison_attacks_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_contact_rampaging_poison_attacks_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_all_contact_virulent_poison_attacks_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_ranged_ability_expert_skirmisher_contact_potent_poison_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_ally_ranged_ability_hawkish_precision_contact_virulent_poison_ammo_type_poison			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_enemy_all_ability_aura_of_shielding			faction	1		true	false	true
nanu_dynamic_ror_special_lizard_enemy_all_ability_hunter_snare_ammo_type_anti_large			faction	1		true	false	true
