key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_nor								
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_all_contact_frostbite_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_all_contact_rampaging_poison_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_colossal_strike_contact_burning_flaming_attacks_bonus_vs_large_anti_large_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_colossal_strike_contact_scorching_flaming_attacks_bonus_vs_large_anti_large_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_ability_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_ability_volley_flaming_contact_burning_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_ability_volley_flaming_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_ability_volley_flaming_greater_contact_burning_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_ability_volley_flaming_greater_contact_scorching_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_contact_burning_flaming_attacks_ammo_type_anti_large_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_contact_scorching_flaming_attacks_ammo_type_anti_large_flaming			character	1		true	false	true
nanu_dynamic_ror_special_norsca_enemy_ranged_contact_suppressing_flaming_attacks_ammo_type_anti_large_flaming			character	1		true	false	true
