key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_nur								
nanu_dynamic_ror_nurgle_basic_great_unclean_one_lore_of_death			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison_aoe			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_aura_of_pestilence			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_blightboil			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_cloud_of_flies			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_crowfeast			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_fecundity			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_foetid_stench			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_gloom_of_flies			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_horrible_regeneration			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_living_armour			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_nurgling_tide			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_paragon_of_decay			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_pestilent_decay			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_regeneration			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_stream_of_corruption			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_single_entity_slime_trail			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_melee_virulent_contagion			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_single_entity_spurting_acid_blood			character	1		true	false	true
nanu_dynamic_ror_nurgle_ability_single_entity_spurting_bile_blood			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_ability_ensorcelled_weapons_contact_magic_poison_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_ability_ensorcelled_weapons_contact_magic_poison_aoe_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_melee_ability_living_armour			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_melee_ability_regeneration			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_attribute_perfect_vigour			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_contaminated_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_contaminated_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_entropic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_entropic_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_potent_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_toxic_sludge_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_toxic_sludge_magic_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_ally_all_contact_virulent_poison_attacks_ammo_type_poison_attacks			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_all_attribute_daemonic_fear_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_all_contact_blinding_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_all_contact_dark_blood_attacks			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_all_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_all_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_aura_of_dispelling			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_aura_of_protection			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_aura_of_purity			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_aura_of_warding			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_beacon_of_hope			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_colossal_strike_bonus_vs_large_contact_arcane_fire_scorching_attacks			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_blinding_radiance			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_courage_in_death			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_ever_burning_light_contact_blinding			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_attribute_encourage			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_attribute_immPsy_unbreakable_vs_nurgle			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_melee_attribute_immune_to_contact			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_magic_ammo_type_explosive_magic			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_arcane_fire_ammo_type_explosive_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_arcane_magic_attacks_ammo_type_magic			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_arcane_greater_magic_attacks_ammo_type_magic			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_barbed			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_barbed_greater			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_fire_charge			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_fire_charge_greater			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_flaming_flaming_attacks_ammo_type_flaming			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_flaming_greater_flaming_attacks_ammo_type_flaming			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_ice_shard_contact_frostbite_ranged_ammo_type_frozen			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_ice_shard_greater_contact_frostbite_ranged_ammo_type_frozen			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_piercing			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_volley_piercing_greater			faction	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_all_ability_wake_of_fire_contact_arcane_fire_scorching_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_powder_ability_firing_line			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_powder_ability_firing_line_aoe			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_hawkish_precision			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_ammo_type_multi			character	1		true	false	true
nanu_dynamic_ror_special_nurgle_enemy_ranged_contact_suppressed			character	1		true	false	true
