key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_ogr								
nanu_dynamic_ror_ogre_ability_melee_arsebelcher			character	1		true	false	true
nanu_dynamic_ror_ogre_ability_melee_bonecrusher			character	1		true	false	true
nanu_dynamic_ror_ogre_ability_melee_bullgorger			character	1		true	false	true
nanu_dynamic_ror_ogre_ability_melee_snacks			character	1		true	false	true
nanu_dynamic_ror_ogre_ability_melee_toothcracker			character	1		true	false	true
nanu_dynamic_ror_ogre_ability_melee_trollguts			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_bloodgreed			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_bloodthirst			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_crush_the_weak_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_frenzied_charge_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_monstrous_strength_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_relentless_assault			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_run_them_down			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_strength_from_flesh_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_melee_ability_unstoppable_charge_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_all_contact_bone_breaker_attacks_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_ally_all_contact_dazed_attacks_ogre_charge			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_colossal_strike_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_attribute_brace			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_courage_in_death			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_expert_skirmisher_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_hawkish_precision_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_volley_bonus_vs_large_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_volley_bonus_vs_large_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_volley_barbed_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_ability_volley_barbed_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_melee_attribute_immPsy_bonus_vs_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_all_contact_entangling_attacks			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_all_contact_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_all_contact_potent_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_all_contact_virulent_poison_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_all_contact_rampaging_poison_attacks_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_ogre_enemy_ranged_contact_suppressed_ammo_type_anti_large			character	1		true	false	true
