key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_skv								
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_melee_skavenbrew			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_melee_trophy_heads			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour			character	1		true	false	true
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning			character	1		true	false	true
nanu_dynamic_ror_skaven_contact_all_magic_attacks_warpstone_weapons			character	1		true	false	true
nanu_dynamic_ror_special_skaven_ally_all_snare_nets			character	1		true	false	true
nanu_dynamic_ror_special_skaven_ally_melee_skavenbrew			character	1		true	false	true
nanu_dynamic_ror_special_skaven_ally_powder_endless_drum			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_all_ability_aura_of_shielding			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_all_contact_contaminated_attacks_ammo_type_poison			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_all_contact_crushing_attacks			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_all_contact_disorienting_attacks			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_aura_of_protection			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_aura_of_purity_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_aura_of_warding			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_bathed_in_blood_bonus_vs_infantry_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_berserk_bonus_vs_infantry_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_blood_frenzy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_courage_in_death_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_crowfeast			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_crush_the_weak			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_dread_aversion_attribute_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_dread_legion_causes_terror			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_ever_burning_light_contact_blinding			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_frenzied_charge			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_gorefeast_causes_terror_vs_skaven			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_heroic_charge_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_hold_the_line_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_holy_aura_attribute_immune_to_contact			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_miasma_of_dispair_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_monstrous_strength_bonus_vs_infantry_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_relentless_assault_bonus_vs_infantry_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_resplendent_armour_attribute_immune_to_contact			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_run_them_down_bonus_vs_infantry_attribute_causes_fear			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_undeath_resurgent			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_undying_tide			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_valiant_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_vengeful_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_vicious_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_melee_ability_violent_war_cry_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_powder_ability_entrench			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_barbed_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_barbed_greater_ammo_type_anti_large			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_fire_charge_contact_burning_flaming_attacks_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_fire_charge_greater_contact_burning_flaming_attacks_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_flaming_contact_burning_flaming_attacks_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ability_volley_flaming_greater_contact_burning_flaming_attacks_ammo_type_anti_infantry_flaming			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ammo_type_anti_infantry			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ammo_type_explosive			character	1		true	false	true
nanu_dynamic_ror_special_skaven_enemy_ranged_ammo_type_multi			character	1		true	false	true
