key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_sla								
nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_shadows			character	1		true	false	true
nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_slaanesh			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_rod_of_torment			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_seductive_glory			character	1		true	false	true
nanu_dynamic_ror_slaanesh_ability_melee_torment_blade			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_ally_melee_ability_locus_of_grace			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_ally_melee_ability_pendant_of_slaanesh			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_ally_melee_ability_rapier_of_ecstacy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_ally_melee_ability_torment_blade			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_ally_melee_attribute_devastating_flanker_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_aura_of_warding_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_beacon_of_hope_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_blinding_radiance_attribute_encourage			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_attribute_brace			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_charge_breaker			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_chilling_aura			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_courage_in_death_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_dark_prince_forsaken_dread_aversion			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_ever_burning_light_contact_blinding			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_frenzy_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_guardian_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_hold_the_line_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_holy_aura			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_stand_or_die_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_stand_your_ground_attribute_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_expert_skirmisher			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_rapid_fire			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_rapid_fire_aoe			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_slippery_vanguard			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_smokebomb			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_arcane_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_arcane_greater_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_barbed			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_barbed_greater			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_ice_shard_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_slaanesh_enemy_ranged_ability_volley_ice_shard_greater_magic_attacks_ammo_type_magic			character	1		true	false	true
