key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_tze								
nanu_dynamic_ror_tzeentch_ability_all_arcane_mirth			character	1		true	false	true
nanu_dynamic_ror_tzeentch_ability_all_pink_fire_of_tzeentch			character	1		true	false	true
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom			character	1		true	false	true
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire			character	1		true	false	true
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_metal			character	1		true	false	true
nanu_dynamic_ror_tzeentch_ability_melee_paragon_of_change			character	1		true	false	true
nanu_dynamic_ror_tzeentch_attribute_all_daemonic_fear			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_ally_all_ability_barrier_boost			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_ally_all_contact_armour_destruction_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_ally_all_contact_warpflame_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_ability_aura_of_hexing			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_ability_aura_of_shielding			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_ability_aura_of_warding			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_ability_unstable_winds_contact_magic_attacks_dampening_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_melee_ability_aura_of_dispelling_contact_disrupted_magic_attacks			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_ranged_ability_volley_arcane_contact_magic_attacks_disrupted_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_ranged_ability_volley_arcane_greater_contact_magic_attacks_disrupted_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_ranged_magic_attacks_ammo_type_anti_large_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_ranged_magic_attacks_ammo_type_explosive_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_contact_armour_destruction_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_tzeentch_enemy_all_contact_dampening_magic_attacks_ammo_type_magic			character	1		true	false	true
