key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/nanu_dynamic_rors_vmp								
nanu_dynamic_ror_special_vampire_counts_ally_melee_ability_crowfeast			faction	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_ally_melee_ability_dread_aversion			faction	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_ally_melee_ability_miasma_of_dispair			faction	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_ensorcelled_weapons_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_ensorcelled_weapons_magic_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_field_medic_encourage			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_unstable_winds_contact_magic_attacks_armour_destruction_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_wake_of_fire_contact_burning_arcane_fire_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_ability_wake_of_fire_flaming_sword_of_rhuin_contact_burning_arcane_fire_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_contact_cursed_attacks			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_contact_dark_blood_attacks			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_contact_disrupted_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_all_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_aura_of_dispelling_encourage			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_aura_of_purity_holy_aura_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_beacon_of_hope_encourage			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_blinding_radiance_contact_blinding_magic_attacks_flaming_attacks			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_courage_in_death			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_ever_burning_light_ensorcelled_weapons_aoe_blinding_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_grim_resolve_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_hold_the_line			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_holy_aura_ensorcelled_weapons_contact_burning_arcane_fire_attacks_ammo_type_arcane_fire			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_stand_or_die			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_stand_your_ground			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_thornmail			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_undaunted_immPsy			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_valiant_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_vengeful_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_vicious_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_melee_ability_violent_war_cry			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_ranged_ability_volley_arcane_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_ranged_ability_volley_arcane_greater_magic_attacks_ammo_type_magic			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
nanu_dynamic_ror_special_vampire_counts_enemy_ranged_ability_volley_ice_shard_greater_contact_frostbite_magic_attacks_ammo_type_frozen			character	1		true	false	true
