effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors				
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	nanu_stat_missile_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	wh_main_effect_character_stat_fire_resistance	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	nanu_dummy_ammo_type_arcane_fire	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_barrier	wh_main_effect_character_stat_leadership	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_all_barrier	wh3_main_effect_battle_barrier_health_add	character_to_character_own	500.0000	start_turn_completed
nanu_dynamic_ror_basic_all_barrier_greater	wh_main_effect_character_stat_leadership	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_all_barrier_greater	wh3_main_effect_battle_barrier_health_add	character_to_character_own	1000.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	nanu_stat_missile_damage_base_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	nanu_stat_melee_damage_base_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	nanu_dummy_ammo_type_flaming	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	nanu_stat_melee_damage_ap_add	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	nanu_dummy_ammo_type_magic	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_1	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_1	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_2	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_2	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_3	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_artillery_3	wh_main_effect_character_stat_ammunition	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_1	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_1	nanu_stat_melee_damage_ap_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_2	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_2	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_3	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_cavalry_3	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_1	wh_main_effect_character_stat_physical_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_1	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_2	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_2	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_2	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_3	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_3	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_elite_3	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_1	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_2	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_2	nanu_stat_melee_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_3	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_3	wh_main_effect_character_stat_leadership	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_1	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_1	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_2	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_2	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_3	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_melee_bonus_vs_large_3	nanu_stat_melee_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_1	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_1	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_1	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_1	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_1	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_2	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_2	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_2	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_2	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_3	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_3	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_monster_3	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_1	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_1	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_2	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_2	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_3	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_ranged_3	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_1	wh_main_effect_character_stat_leadership	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_1	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_2	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_2	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_2	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	25.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_2	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_3	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_3	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_basic_single_entity_3	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
