effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_brt				
nanu_dynamic_ror_bretonnia_special_dwarf_ally_contact_trebuchet_ammo_type_explosive	wh2_dlc17_effect_ability_enable_rowdy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_bretonnia_special_dwarf_ally_contact_trebuchet_ammo_type_explosive	nanu_dummy_ammo_type_explosive	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_bretonnia_special_dwarf_ally_contact_trebuchet_ammo_type_explosive	nanu_context_bretonnia	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	nanu_unit_ability_lance	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	wh2_dlc11_effect_force_stat_leadership_vs_bretonnia	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	wh2_dlc11_effect_force_stat_melee_attack_vs_chaos_undead_greenskins	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_lance	nanu_context_bretonnia_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_living_saint_blessing_of_the_lady_attribute_perfect_vigour_immPsy_contact_magic_attacks	wh_main_effect_ability_enable_blessing_of_the_lady	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_living_saint_blessing_of_the_lady_attribute_perfect_vigour_immPsy_contact_magic_attacks	nanu_unit_ability_lance	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_living_saint_blessing_of_the_lady_attribute_perfect_vigour_immPsy_contact_magic_attacks	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_bretonnia_ally_cavalry_ability_living_saint_blessing_of_the_lady_attribute_perfect_vigour_immPsy_contact_magic_attacks	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
