effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_bst				
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	wh_main_effect_character_stat_speed	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_perfect_vigour_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh_main_effect_character_stat_speed	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	nanu_stat_missile_damage_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_all_attribute_stalk_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	nanu_unit_passive_bloodthirsty_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_bloodthirsty_rampage_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	nanu_unit_passive_bloodthirsty_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_berserk_unstoppable_rampage	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	nanu_unit_passive_blood_rage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	nanu_unit_ability_blood_frenzy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	nanu_stat_melee_damage_base_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_blood_frenzy_attribute_immPsy	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	wh2_dlc17_effect_ability_enable_bloodgreed	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	nanu_stat_melee_damage_base_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodgreed	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	nanu_unit_passive_bloodthirst	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_bloodthirst_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	nanu_unit_passive_crowfeast	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh2_dlc15_effect_unit_enable_attribute_woodsman	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	wh3_dlc23_effect_force_stat_leadership_vs_order_factions	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_crowfeast_attribute_immPsy_woodsman	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	nanu_unit_passive_flanker	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh_main_effect_attribute_enable_strider	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh2_dlc15_effect_unit_enable_attribute_woodsman	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_flanker_attribute_vanguard_strider_woodsman	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh_main_effect_attribute_enable_causes_fear	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh3_dlc20_effect_healing_cap_modifier	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_gorefeast_attribute_vanguard_causes_fear	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	nanu_unit_ability_monstrous_strength	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh_main_effect_character_stat_leadership	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	nanu_stat_bonus_vs_large_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	wh3_dlc23_effect_force_stat_leadership_vs_order_factions	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_monstrous_strength_bonus_vs_infantry	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	nanu_unit_passive_run_them_down	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_run_them_down_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	nanu_unit_passive_run_them_down	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_unstoppable_charge_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	nanu_unit_passive_run_them_down	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_ability_violent_war_cry_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	wh3_main_effect_attribute_enable_devestating_flanker	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	nanu_stat_melee_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_ally_melee_attribute_devastating_flanker_vanguard	nanu_context_beastmen_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_unit_contact_blinded	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_stat_melee_damage_base_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_stat_missile_damage_base_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	wh_dlc05_effect_force_stat_melee_attack_vs_beastmen	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	wh_dlc05_effect_force_stat_missile_damage_vs_beastmen	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_blinding_attacks	nanu_context_beastmen_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_unit_contact_burnt	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_dummy_ammo_type_flaming	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_stat_melee_damage_base_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_stat_missile_damage_base_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	wh_dlc05_effect_force_stat_melee_attack_vs_beastmen	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	wh_dlc05_effect_force_stat_missile_damage_vs_beastmen	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_burning_flaming_attacks_ammo_type_flaming	nanu_context_beastmen_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	wh2_dlc10_effect_character_stat_enable_contaminated_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_dummy_ammo_type_poison	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_stat_melee_damage_base_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_stat_missile_damage_base_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	wh_dlc05_effect_force_stat_melee_attack_vs_beastmen	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	wh_dlc05_effect_force_stat_missile_damage_vs_beastmen	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_contaminated_attacks_ammo_type_poison	nanu_context_beastmen_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_dazed_attacks	wh2_dlc17_effect_contact_phase_dazed	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_beastmen_enemy_all_contact_dazed_attacks	nanu_stat_melee_damage_base_add	character_to_character_own	5.0000	start_turn_completed
