effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_chd				
nanu_dynamic_ror_chorf_ability_all_sadistic_snare	wh3_dlc23_effect_ability_enable_sadistic_snare	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare	nanu_context_chorfs	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	wh3_dlc23_effect_ability_enable_sadistic_snare	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	nanu_context_chorfs	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	nanu_stat_bonus_vs_infantry_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks	nanu_unit_ability_ash_storm	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks	wh_main_effect_character_stat_melee_attack	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks	nanu_context_chorfs	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_melee_armour_of_gazrakh	wh3_dlc23_effect_ability_enable_armour_of_gazrakh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_melee_armour_of_gazrakh	wh_main_effect_character_stat_armour	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_melee_armour_of_gazrakh	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chorf_ability_melee_armour_of_gazrakh	nanu_context_chorfs	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	nanu_unit_ability_magma_storm_lesser	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	wh_main_effect_character_stat_fire_resistance	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	wh2_main_effect_character_stat_weapon_strength_vs_greenskins_ogres_skaven	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_magma_storm	nanu_context_chorfs_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	nanu_unit_ability_searing_doom	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	wh_main_effect_character_stat_fire_resistance	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	wh2_main_effect_character_stat_weapon_strength_vs_greenskins_ogres_skaven	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_searing_doom	nanu_context_chorfs_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming	nanu_unit_ability_wake_of_fire	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chorf_ally_all_ability_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming	wh2_dlc15_effect_character_stat_scorching_attacks	character_to_character_own	1.0000	start_turn_completed
