effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_chs				
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	wh3_main_effect_ability_enable_daemonic_onslaught	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	wh_main_effect_ability_enable_daemonic_strength	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_aether_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_aether_sword	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_aether_sword	wh3_dlc20_effect_item_aether_sword	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_aether_sword	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	wh3_daemon_prince_weapon_hellblade	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	wh3_dlc20_effect_ability_paragon_of_ruin	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	nanu_attribute_cause_fear_vs_forces_of_order	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_soulscent	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_soulscent	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_soulscent	nanu_unit_passive_soulscent	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_soulscent	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	wh3_dlc20_effect_item_aether_sword	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	wh_main_effect_attribute_enable_causes_terror	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	nanu_context_chaos	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_stat_melee_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_stat_missile_damage_ap_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_stat_missile_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_unit_contact_shieldbreaker	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	nanu_dummy_ammo_type_anti_large	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	nanu_stat_melee_damage_ap_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	nanu_stat_missile_damage_ap_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	nanu_unit_contact_armour_destruction	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_unit_contact_searing	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_stat_melee_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_stat_missile_damage_ap_add	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_stat_missile_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_all_arcane_fire_contact_searing_ammo_type_flaming	nanu_dummy_ammo_type_flaming	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour	wh3_main_effect_ability_enable_chaos_armour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour	wh3_dlc23_effect_force_stat_leadership_vs_order_factions	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_chaos_armour	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak	nanu_unit_passive_crush_the_weak	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_crush_the_weak	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	nanu_stat_melee_damage_mult	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_deadly_onslaught	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	wh_dlc08_effect_ability_enable_frenzy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_frenzy_immPsy	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge	wh3_dlc23_effect_ability_enable_murderous_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_murderous_charge	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault	nanu_unit_passive_relentless_assault	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_relentless_assault	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down	nanu_unit_passive_run_them_down	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_order	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_run_them_down	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	wh_main_effect_ability_enable_stand_or_die	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	wh3_dlc23_effect_force_stat_leadership_vs_order_factions	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_stand_or_die	nanu_context_chaos_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_violent_war_cry	nanu_unit_passive_violent_war_cry	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_violent_war_cry	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_chaos_ally_melee_ability_violent_war_cry	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
