effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_cst				
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	nanu_unit_passive_aura_of_shielding	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_speed	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	nanu_stat_missile_resistance_vs_vampire_coast	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_all_ability_aura_of_shielding	nanu_context_vampire_coast_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	wh2_dlc10_effect_ability_enable_chilling_aura	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	nanu_stat_missile_resistance_vs_vampire_coast	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	nanu_attribute_immPsy_vs_undead	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_chilling_aura	nanu_context_vampire_coast_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	nanu_unit_passive_grim_resolve	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	wh_main_effect_character_stat_leadership	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	nanu_stat_missile_resistance_vs_vampire_coast	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	nanu_attribute_unbreakable_vs_undead	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_grim_resolve_immPsy	nanu_context_vampire_coast_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	nanu_unit_passive_heroic_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	wh_main_effect_character_stat_missile_block	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	nanu_stat_missile_resistance_vs_vampire_coast	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	nanu_attribute_immPsy_vs_undead	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_heroic_charge	nanu_context_vampire_coast_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_immaculate_charge	nanu_unit_passive_immaculate_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_vampire_coast_enemy_melee_ability_immaculate_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
