effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_cth				
nanu_dynamic_ror_cathay_ability_all_martial_mastery	nanu_unit_passive_cathayan_martial_mastery	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_martial_mastery	wh_main_effect_character_stat_melee_defence	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_martial_mastery	wh_main_effect_character_stat_speed	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_martial_mastery	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	nanu_unit_passive_stone	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	nanu_unit_passive_steel	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	wh_main_effect_character_stat_armour	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	wh_main_effect_character_stat_unit_health	character_to_character_own	6.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	wh_main_effect_attribute_enable_encourage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_stone_and_steel_attribute_immPsy_encourage	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	nanu_unit_passive_strength_of_the_great_bastion	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh_main_effect_character_stat_melee_defence	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	25.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh_main_effect_character_stat_unit_health	character_to_character_own	6.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	wh_main_effect_attribute_enable_encourage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_special_heroic_victory_strength_of_the_great_bastion_attribute_immPsy_encourage	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_stone_and_steel	nanu_unit_passive_stone	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_stone_and_steel	nanu_unit_passive_steel	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_stone_and_steel	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_stone_and_steel	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_tactician	wh3_main_effect_ability_enable_grand_strategist	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_tactician	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_tactician	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_all_tactician	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	wh3_main_effect_ability_enable_warding_iron	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	wh_main_effect_character_stat_leadership	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	wh_main_effect_attribute_enable_unbreakable	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_special_pyrrhic_victory_warding_iron_attribute_unbreakable	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_strength_of_the_great_bastion	nanu_unit_passive_strength_of_the_great_bastion	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_strength_of_the_great_bastion	wh_main_effect_character_stat_melee_defence	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_strength_of_the_great_bastion	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_cathay_ability_melee_strength_of_the_great_bastion	nanu_context_cathay	character_to_character_own	1.0000	start_turn_completed
