effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_def				
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	nanu_unit_passive_aura_of_blood	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	wh_main_effect_character_stat_physical_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	wh_main_effect_character_stat_melee_defence	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	wh2_main_effect_force_stat_melee_defence_vs_dark_elves	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	wh2_main_effect_attribute_enable_causes_fear_vs_def	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_aura_of_blood	nanu_context_dark_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	nanu_unit_passive_terrifying_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh3_dlc24_effect_attribute_enable_360_missile_block	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh_main_effect_character_stat_missile_block	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	wh2_dlc10_effect_force_stat_weapon_strength_vs_dark_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_terrifying_rampage	nanu_context_dark_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_dark_elf_enemy_melee_ability_berserk_unstoppable_rampage	nanu_unit_passive_unstoppable_rampage	character_to_character_own	1.0000	start_turn_completed
