effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_dwf				
nanu_dynamic_ror_dwarf_ability_all_flashbomb	wh_pro01_effect_ability_enable_flash_bang	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_all_flashbomb	wh_main_effect_character_stat_melee_attack	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_all_flashbomb	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_all_flashbomb	nanu_context_dwarf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	wh_main_effect_ability_enable_forgefire	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	wh_main_effect_character_stat_melee_defence	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	nanu_stat_melee_damage_base_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	nanu_unit_contact_burnt	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	nanu_context_dwarf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_dwarf_ability_melee_liquid_foritification	wh2_dlc10_effect_ability_enable_liquid_fortification	character_to_character_own	1.0000	start_turn_completed
