effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_emp				
nanu_dynamic_ror_empire_basic_archer_1	wh_main_effect_character_stat_range	character_to_character_own	33.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_1	nanu_stat_missile_damage_ap_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_2	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_2	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_2	wh_main_effect_character_stat_melee_attack	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_2	wh_main_effect_character_stat_melee_defence	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_2	wh_main_effect_character_stat_ammunition	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_3	nanu_stat_missile_damage_mult	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_archer_3	wh_main_effect_character_stat_range	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	wh_main_effect_character_stat_leadership	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	wh_main_effect_character_stat_speed	character_to_character_own	9.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	18.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_1	nanu_stat_melee_damage_mult	character_to_character_own	40.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_leadership	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_unit_health	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	nanu_stat_melee_damage_mult	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	14.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_2	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_leadership	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_armour	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	nanu_stat_melee_damage_mult	character_to_character_own	30.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_speed	character_to_character_own	9.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_melee_attack	character_to_character_own	11.0000	start_turn_completed
nanu_dynamic_ror_empire_basic_knight_3	wh_main_effect_character_stat_melee_defence	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	nanu_unit_ability_undying_will	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	nanu_context_empire	character_to_character_own	1.0000	start_turn_completed
