effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_grn				
nanu_dynamic_ror_greenskin_ability_all_fermented_fungi	wh2_dlc15_effect_ability_enable_fermented_fungi	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_all_fermented_fungi	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_all_fermented_fungi	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_all_fermented_fungi	nanu_context_greenskin	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_smash_em_faster	wh2_dlc15_effect_ability_enable_smash_em_faster	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_smash_em_faster	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_smash_em_faster	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_smash_em_faster	nanu_context_greenskin	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large	wh_dlc06_effect_ability_enable_ability_spite_of_da_bad_moon	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large	nanu_context_greenskin	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_greenskin_ability_melee_spite_of_da_bad_moon_bonus_vs_large	nanu_stat_bonus_vs_infantry_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_greenskin_ally_all_ability_fermented_fungi	wh2_dlc15_effect_ability_enable_fermented_fungi	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_greenskin_ally_all_ability_fermented_fungi	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
