effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_hef				
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley	nanu_context_high_elf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	nanu_context_high_elf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	nanu_dummy_ammo_type_arcane_fire	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_arcane_fire	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	nanu_context_high_elf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	nanu_dummy_ammo_type_magic	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_magic	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	nanu_context_high_elf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	nanu_dummy_ammo_type_seeking	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	nanu_context_high_elf	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	nanu_dummy_ammo_type_seeking_magic	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_high_elf_ability_ranged_unending_volley_ammo_type_seeking_magic	nanu_stat_missile_damage_ap_add	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_melee_ability_resplendent_armour	nanu_unit_passive_resplendent_armour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_melee_ability_resplendent_armour	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_melee_ability_resplendent_armour	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_ranged_ability_unending_volley	nanu_unit_passive_unending_volley	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_ranged_ability_unending_volley	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_ally_ranged_ability_unending_volley	wh_main_effect_character_stat_ammunition	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh3_dlc24_effect_ability_enable_colossal_strike	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	nanu_stat_bonus_vs_infantry_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_fire_resistance	character_to_character_own	25.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	nanu_dummy_ammo_type_anti_large	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	nanu_stat_missile_damage_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	wh2_main_effect_character_stat_weapon_strength_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_colossal_strike_bonus_vs_large_ammo_type_anti_large	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	nanu_unit_passive_unstable_winds	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_all_ability_unstable_winds	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	nanu_unit_passive_unstoppable_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	wh3_dlc24_effect_attribute_enable_360_missile_block	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	wh_main_effect_character_stat_missile_block	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	wh2_main_effect_attribute_enable_causes_fear_vs_hef	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_berserk_unstoppable_rampage	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	wh3_main_effect_ability_enable_chaos_armour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	nanu_attribute_enable_glorious_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	wh2_main_effect_attribute_enable_causes_fear_vs_hef	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_chaos_armour_attribute_glorious_charge	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	nanu_unit_passive_frenzied_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	wh2_main_effect_attribute_enable_causes_fear_vs_hef	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_frenzied_charge	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	nanu_unit_passive_gravity_shift	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	nanu_attribute_enable_glorious_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	wh2_main_effect_attribute_enable_causes_fear_vs_hef	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_gravity_shift_attribute_glorious_charge	nanu_context_high_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	nanu_unit_passive_immaculate_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	wh3_main_effect_attribute_enable_devestating_flanker	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	wh_main_effect_character_stat_speed	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_high_elf_enemy_melee_ability_immaculate_charge_attribute_vanguard_devastating_flanker	nanu_stat_missile_resistance_vs_high_elves	character_to_character_own	10.0000	start_turn_completed
