effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_kho				
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	nanu_unit_passive_ensorcelled_weapons_flaming_aoe	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	nanu_stat_missile_damage_base_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	nanu_context_khorne	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	nanu_unit_passive_ensorcelled_weapons_flaming	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	nanu_stat_missile_damage_base_mult	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
