effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_kis				
nanu_dynamic_ror_kislev_ability_melee_force_feed_kvas	nanu_unit_ability_force_feed_kvas	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_force_feed_kvas	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_force_feed_kvas	nanu_context_kislev	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kislev_unite	wh3_dlc24_effect_ability_enable_kislev_unite	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kislev_unite	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kislev_unite	nanu_context_kislev	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kvas_flasks	nanu_unit_passive_kvas_flasks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kvas_flasks	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_melee_kvas_flasks	nanu_context_kislev	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_ranged_cursed_frontier	wh3_dlc24_effect_ability_enable_cursed_frontier	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_ranged_cursed_frontier	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_kislev_ability_ranged_cursed_frontier	nanu_context_kislev	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_melee_attack	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_dlc08_effect_character_stat_enable_frostbite_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	nanu_kislev_winter_attrition_immunity	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	nanu_stat_missile_damage_vs_chaos	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_climate_winter_ammo_type_frozen	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	wh_dlc08_effect_character_stat_enable_frostbite_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	nanu_kislev_winter_attrition_immunity	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	nanu_stat_missile_damage_vs_chaos	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_all_contact_frostbite_magic_attacks_climate_winter_ammo_type_frozen	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh2_dlc10_effect_ability_enable_chilling_aura	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	nanu_kislev_winter_attrition_immunity	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_chilling_aura_climate_winter	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas	nanu_unit_ability_force_feed_kvas	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas	wh_main_effect_character_stat_unit_health	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas	wh_main_effect_character_stat_weapon_strength	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	8.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_force_feed_kvas	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	wh_dlc08_effect_ability_enable_frenzy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_frenzy_immPsy	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	nanu_unit_passive_kvas_flasks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	wh_main_effect_character_stat_melee_attack	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_kvas_flasks	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	nanu_unit_passive_undaunted	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	wh_main_effect_character_stat_melee_defence	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	wh_main_effect_character_stat_armour	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_melee_ability_undaunted_immPsy	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	wh3_dlc24_effect_ability_enable_cursed_frontier	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	wh_main_effect_character_stat_range	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	wh_main_effect_character_stat_unit_health	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	nanu_stat_missile_damage_vs_kislev	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	nanu_kislev_winter_attrition_immunity	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	wh_dlc07_effect_attrition_immunity_snow	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_cursed_frontier	nanu_context_kislev_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen	nanu_unit_ability_volley_ice_shard	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen	nanu_stat_melee_damage_ap_add	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_kislev_ally_ranged_ability_volley_ice_shard_contact_frostbite_magic_attacks_ammo_type_frozen	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
