effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_nor				
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	nanu_unit_passive_bloodthirsty_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bloodthirsty_rampage_bonus_vs_infantry	nanu_stat_bonus_vs_large_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_bonus_vs_infantry	nanu_stat_bonus_vs_large_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	nanu_unit_passive_terrifying_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_terrifying_rampage_bonus_vs_infantry	nanu_stat_bonus_vs_large_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	wh_dlc08_effect_ability_enable_berserk	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	nanu_unit_passive_unstoppable_rampage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_berserk_unstoppable_rampage_bonus_vs_infantry	nanu_stat_bonus_vs_large_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	nanu_unit_passive_bloodthirst	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_bloodthirst	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh2_dlc10_effect_ability_enable_chilling_aura	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh_main_effect_character_stat_melee_attack	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_chilling_aura	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh3_dlc24_effect_ability_enable_colossal_strike	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	nanu_stat_melee_attack_versus_grn_skv_lzd	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_colossal_strike_bonus_vs_large	nanu_stat_bonus_vs_infantry_hidden	character_to_character_own	-100.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	nanu_unit_passive_frenzied_charge	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzied_charge	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy	wh_dlc08_effect_ability_enable_frenzy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_frenzy_immPsy	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage	wh_dlc08_effect_ability_enable_rage	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage	nanu_stat_melee_damage_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_rage	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	nanu_unit_passive_relentless_assault	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_relentless_assault	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	nanu_unit_passive_run_them_down	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_ability_run_them_down	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	nanu_unit_passive_amphibious	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_character_stat_charge_bonus_pct	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_character_stat_speed	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh_main_effect_character_stat_armour	character_to_character_own	-10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	wh2_main_effect_force_stat_melee_attack_vs_human	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_ally_melee_attribute_amphibious_attribute_immPsy_vanguard	nanu_context_norsca_ally	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	wh2_dlc13_ability_enable_hunter_snare_0	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	nanu_dummy_ammo_type_anti_large	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_snare_ammo_type_anti_large	nanu_context_norsca_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	wh2_dlc13_ability_enable_hunter_snare_1	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	wh_main_effect_character_stat_unit_health	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	nanu_dummy_ammo_type_anti_large	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_ability_hunter_trap_ammo_type_anti_large	nanu_context_norsca_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_contact_frostbite_attacks_ammo_type_frozen	wh_dlc08_effect_character_stat_enable_frostbite_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_contact_frostbite_attacks_ammo_type_frozen	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_contact_frostbite_attacks_ammo_type_frozen	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_norsca_enemy_all_contact_frostbite_attacks_ammo_type_frozen	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
