effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_nur				
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_unit_passive_ensorcelled_weapons_poison	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	wh_main_effect_character_stat_unit_health	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_stat_melee_damage_mult	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_stat_melee_damage_base_add	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_stat_missile_damage_mult	character_to_character_own	7.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_stat_missile_damage_base_add	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	nanu_context_nurgle	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison_aoe	nanu_unit_passive_ensorcelled_weapons_poison_aoe	character_to_character_own	1.0000	start_turn_completed
