effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_ogr				
nanu_dynamic_ror_ogre_ability_melee_arsebelcher	wh3_main_effect_ability_enable_arsebelcher	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_arsebelcher	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_arsebelcher	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bonecrusher	nanu_unit_ability_bonecrusher	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bonecrusher	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bonecrusher	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bullgorger	nanu_unit_ability_bullgorger	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bullgorger	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_bullgorger	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_snacks	wh3_main_effect_ability_enable_ogr_snacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_snacks	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_snacks	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_toothcracker	nanu_unit_ability_toothcracker	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_toothcracker	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_toothcracker	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_trollguts	nanu_unit_ability_trollguts	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_trollguts	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_ogre_ability_melee_trollguts	nanu_context_ogre	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_ogre_ally_all_contact_bone_breaker_attacks_ogre_charge	nanu_unit_contact_bone_breaker	character_to_character_own	1.0000	start_turn_completed
