effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_skv				
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	wh2_dlc16_effect_ability_enable_bound_warp_lightning_rod	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	nanu_unit_ability_rival_hide_talisman	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_skavenbrew	nanu_unit_ability_skavenbrew	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_skavenbrew	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_skavenbrew	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_skavenbrew	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	nanu_unit_passive_swarm_of_rats	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_trophy_heads	wh2_main_effect_ability_enable_skv_trophy_heads_queek	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_trophy_heads	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_trophy_heads	nanu_stat_melee_damage_ap_mult	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_trophy_heads	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	wh2_main_effect_ability_enable_warpstone_armour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	nanu_unit_ability_worlds_edge_armour	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	wh_main_effect_character_stat_armour	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	nanu_context_skaven	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_skaven_contact_all_magic_attacks_warpstone_weapons	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_skaven_contact_all_magic_attacks_warpstone_weapons	nanu_stat_missile_damage_mult	character_to_character_own	5.0000	start_turn_completed
