effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_sla				
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	nanu_stat_melee_damage_mult	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	wh3_main_effect_ability_enable_ballet_of_blows	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	nanu_context_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	wh_main_effect_character_stat_speed	character_to_character_own	12.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	wh3_main_effect_ability_enable_locus_of_grace	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	nanu_context_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	wh_main_effect_character_stat_ward_save	character_to_character_own	4.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	wh3_dlc20_effect_ability_paragon_of_excess	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	nanu_context_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	wh_main_effect_character_stat_speed	character_to_character_own	12.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	wh_main_effect_character_stat_melee_attack	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	wh_main_effect_ability_enable_master_pendant_of_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	nanu_context_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	wh_main_effect_character_stat_melee_attack	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	wh3_dlc20_effect_item_rapier_of_ecstasy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	nanu_context_slaanesh	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_slaanesh_ability_melee_rod_of_torment	wh_main_effect_character_stat_speed	character_to_character_own	12.0000	start_turn_completed
