effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_tze				
nanu_dynamic_ror_tzeentch_ability_all_arcane_mirth	wh3_main_effect_ability_enable_arcane_mirth	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_arcane_mirth	wh3_main_effect_battle_barrier_health_add	character_to_character_own	200.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_arcane_mirth	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_arcane_mirth	nanu_context_tzeentch	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_pink_fire_of_tzeentch	wh3_dlc20_effect_ability_enable_bound_pink_fire_of_tzeentch	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_pink_fire_of_tzeentch	wh3_main_effect_battle_barrier_health_add	character_to_character_own	200.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_pink_fire_of_tzeentch	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_pink_fire_of_tzeentch	nanu_context_tzeentch	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	nanu_unit_ability_final_transmutation	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	nanu_unit_ability_searing_doom	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	wh3_main_effect_battle_barrier_health_add	character_to_character_own	200.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	wh_main_effect_character_stat_leadership	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_all_transmutation_of_lead_searing_doom	nanu_context_tzeentch	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	nanu_stat_melee_damage_ap_add	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	nanu_stat_melee_damage_base_add	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	wh_main_effect_character_stat_unit_health	character_to_character_own	12.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	wh_main_effect_ability_enable_flame_storm	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	wh2_main_effect_ability_wom_cost_flame_storm	character_to_character_own	-3.0000	start_turn_completed
nanu_dynamic_ror_tzeentch_ability_lord_of_change_lore_of_fire	wh_main_effect_ability_enable_flaming_sword_of_rhuin	character_to_character_own	1.0000	start_turn_completed
