effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/nanu_dynamic_rors_wef				
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	nanu_unit_passive_aura_of_shielding	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh3_dlc24_effect_attribute_enable_360_missile_block	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_missile_block	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_range	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	wh_main_effect_force_stat_missile_resistance_vs_wood_elves	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_shielding	nanu_context_wood_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	nanu_unit_passive_aura_of_warding	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh3_dlc24_effect_attribute_enable_360_missile_block	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh_main_effect_character_stat_missile_block	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh_main_effect_character_stat_range	character_to_character_own	15.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh_main_effect_character_stat_melee_defence	character_to_character_own	2.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	wh_main_effect_force_stat_missile_resistance_vs_wood_elves	character_to_character_own	20.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_aura_of_warding	nanu_context_wood_elf_enemy	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_ensorcelled_weapons_contact_arcane_fire_scorching_attacks_ammo_type_arcane_fire	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_ensorcelled_weapons_contact_arcane_fire_scorching_attacks_ammo_type_arcane_fire	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_ensorcelled_weapons_contact_arcane_fire_scorching_attacks_ammo_type_arcane_fire	wh2_dlc15_effect_character_stat_scorching_attacks	character_to_character_own	1.0000	start_turn_completed
nanu_dynamic_ror_special_wood_elf_enemy_all_ability_ensorcelled_weapons_contact_arcane_fire_scorching_attacks_ammo_type_arcane_fire	nanu_dummy_ammo_type_arcane_fire	character_to_character_own	1.0000	start_turn_completed
