key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_brt				
nanu_brt_trebuchet_cow	false	nanu_brt_trebuchet_cow		false
nanu_brt_trebuchet_stone_arcane_fire	false	nanu_brt_trebuchet_stone_arcane_fire		false
nanu_brt_trebuchet_stone_explosive	false	nanu_brt_trebuchet_stone_explosive		false
nanu_brt_trebuchet_stone_flaming	false	nanu_brt_trebuchet_stone_flaming		false
nanu_brt_trebuchet_stone_frozen	false	nanu_brt_trebuchet_stone_frozen		false
nanu_brt_trebuchet_stone_lightning	false	nanu_brt_trebuchet_stone_lightning		false
nanu_brt_arrow_horse_arcane_fire	false	nanu_brt_arrow_horse_arcane_fire	bow	false
nanu_brt_arrow_horse_flaming	false	nanu_brt_arrow_horse_flaming	bow	false
nanu_brt_arrow_horse_frozen	false	nanu_brt_arrow_horse_frozen	bow	false
nanu_brt_arrow_horse_lightning	false	nanu_brt_arrow_horse_lightning	bow	false
nanu_brt_arrow_horse_magic	false	nanu_brt_arrow_horse_magic	bow	false
nanu_brt_arrow_horse_poison	false	nanu_brt_arrow_horse_poison	bow	false
nanu_brt_arrow_horse_anti_infantry	false	nanu_brt_arrow_horse_anti_infantry	bow	false
nanu_brt_arrow_horse_anti_infantry_arcane_fire	false	nanu_brt_arrow_horse_anti_infantry_arcane_fire	bow	false
nanu_brt_arrow_horse_anti_infantry_flaming	false	nanu_brt_arrow_horse_anti_infantry_flaming	bow	false
nanu_brt_arrow_horse_anti_infantry_magic	false	nanu_brt_arrow_horse_anti_infantry_magic	bow	false
nanu_brt_arrow_horse_anti_infantry_frozen	false	nanu_brt_arrow_horse_anti_infantry_frozen	bow	false
nanu_brt_arrow_horse_anti_infantry_lightning	false	nanu_brt_arrow_horse_anti_infantry_lightning	bow	false
nanu_brt_arrow_horse_anti_infantry_poison	false	nanu_brt_arrow_horse_anti_infantry_poison	bow	false
nanu_brt_arrow_horse_anti_large	false	nanu_brt_arrow_horse_anti_large	bow	false
nanu_brt_arrow_horse_anti_large_arcane_fire	false	nanu_brt_arrow_horse_anti_large_arcane_fire	bow	false
nanu_brt_arrow_horse_anti_large_flaming	false	nanu_brt_arrow_horse_anti_large_flaming	bow	false
nanu_brt_arrow_horse_anti_large_frozen	false	nanu_brt_arrow_horse_anti_large_frozen	bow	false
