key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_chs				
nanu_chs_heavy_javelin_arcane_fire	false	nanu_chs_heavy_javelin_arcane_fire	javelin	false
nanu_chs_heavy_javelin_flaming	false	nanu_chs_heavy_javelin_flaming	javelin	false
nanu_chs_heavy_javelin_frozen	false	nanu_chs_heavy_javelin_frozen	javelin	false
nanu_chs_heavy_javelin_lightning	false	nanu_chs_heavy_javelin_lightning	javelin	false
nanu_chs_heavy_javelin_magic	false	nanu_chs_heavy_javelin_magic	javelin	false
nanu_chs_heavy_javelin_poison	false	nanu_chs_heavy_javelin_poison	javelin	false
nanu_chs_heavy_javelin_anti_infantry	false	nanu_chs_heavy_javelin_anti_infantry	javelin	false
nanu_chs_heavy_javelin_anti_infantry_arcane_fire	false	nanu_chs_heavy_javelin_anti_infantry_arcane_fire	javelin	false
nanu_chs_heavy_javelin_anti_infantry_flaming	false	nanu_chs_heavy_javelin_anti_infantry_flaming	javelin	false
nanu_chs_heavy_javelin_anti_infantry_frozen	false	nanu_chs_heavy_javelin_anti_infantry_frozen	javelin	false
nanu_chs_heavy_javelin_anti_infantry_lightning	false	nanu_chs_heavy_javelin_anti_infantry_lightning	javelin	false
nanu_chs_heavy_javelin_anti_infantry_magic	false	nanu_chs_heavy_javelin_anti_infantry_magic	javelin	false
nanu_chs_heavy_javelin_anti_infantry_poison	false	nanu_chs_heavy_javelin_anti_infantry_poison	javelin	false
nanu_chs_heavy_javelin_anti_large	false	nanu_chs_heavy_javelin_anti_large	javelin	false
nanu_chs_heavy_javelin_anti_large_arcane_fire	false	nanu_chs_heavy_javelin_anti_large_arcane_fire	javelin	false
nanu_chs_heavy_javelin_anti_large_flaming	false	nanu_chs_heavy_javelin_anti_large_flaming	javelin	false
nanu_chs_heavy_javelin_anti_large_frozen	false	nanu_chs_heavy_javelin_anti_large_frozen	javelin	false
nanu_chs_heavy_javelin_anti_large_lightning	false	nanu_chs_heavy_javelin_anti_large_lightning	javelin	false
nanu_chs_heavy_javelin_anti_large_magic	false	nanu_chs_heavy_javelin_anti_large_magic	javelin	false
nanu_chs_heavy_javelin_anti_large_poison	false	nanu_chs_heavy_javelin_anti_large_poison	javelin	false
nanu_chs_heavy_javelin_multi	false	nanu_chs_heavy_javelin_multi	javelin	false
nanu_chs_heavy_javelin_multi_arcane_fire	false	nanu_chs_heavy_javelin_multi_arcane_fire	javelin	false
nanu_chs_heavy_javelin_multi_flaming	false	nanu_chs_heavy_javelin_multi_flaming	javelin	false
nanu_chs_heavy_javelin_multi_frozen	false	nanu_chs_heavy_javelin_multi_frozen	javelin	false
nanu_chs_heavy_javelin_multi_lightning	false	nanu_chs_heavy_javelin_multi_lightning	javelin	false
nanu_chs_heavy_javelin_multi_magic	false	nanu_chs_heavy_javelin_multi_magic	javelin	false
nanu_chs_heavy_javelin_multi_poison	false	nanu_chs_heavy_javelin_multi_poison	javelin	false
nanu_chs_heavy_javelin_seeking	false	nanu_chs_heavy_javelin_seeking	javelin	false
nanu_chs_heavy_javelin_seeking_arcane_fire	false	nanu_chs_heavy_javelin_seeking_arcane_fire	javelin	false
nanu_chs_heavy_javelin_seeking_flaming	false	nanu_chs_heavy_javelin_seeking_flaming	javelin	false
nanu_chs_heavy_javelin_seeking_frozen	false	nanu_chs_heavy_javelin_seeking_frozen	javelin	false
nanu_chs_heavy_javelin_seeking_lightning	false	nanu_chs_heavy_javelin_seeking_lightning	javelin	false
nanu_chs_heavy_javelin_seeking_magic	false	nanu_chs_heavy_javelin_seeking_magic	javelin	false
nanu_chs_heavy_javelin_seeking_poison	false	nanu_chs_heavy_javelin_seeking_poison	javelin	false
nanu_chs_javelin_arcane_fire	false	nanu_chs_javelin_arcane_fire	javelin	false
nanu_chs_javelin_flaming	false	nanu_chs_javelin_flaming	javelin	false
nanu_chs_javelin_frozen	false	nanu_chs_javelin_frozen	javelin	false
nanu_chs_javelin_lightning	false	nanu_chs_javelin_lightning	javelin	false
nanu_chs_javelin_magic	false	nanu_chs_javelin_magic	javelin	false
nanu_chs_javelin_poison	false	nanu_chs_javelin_poison	javelin	false
nanu_chs_javelin_anti_infantry	false	nanu_chs_javelin_anti_infantry	javelin	false
nanu_chs_javelin_anti_infantry_arcane_fire	false	nanu_chs_javelin_anti_infantry_arcane_fire	javelin	false
nanu_chs_javelin_anti_infantry_flaming	false	nanu_chs_javelin_anti_infantry_flaming	javelin	false
nanu_chs_javelin_anti_infantry_frozen	false	nanu_chs_javelin_anti_infantry_frozen	javelin	false
nanu_chs_javelin_anti_infantry_lightning	false	nanu_chs_javelin_anti_infantry_lightning	javelin	false
nanu_chs_javelin_anti_infantry_magic	false	nanu_chs_javelin_anti_infantry_magic	javelin	false
nanu_chs_javelin_anti_infantry_poison	false	nanu_chs_javelin_anti_infantry_poison	javelin	false
nanu_chs_javelin_anti_large	false	nanu_chs_javelin_anti_large	javelin	false
nanu_chs_javelin_anti_large_arcane_fire	false	nanu_chs_javelin_anti_large_arcane_fire	javelin	false
nanu_chs_javelin_anti_large_flaming	false	nanu_chs_javelin_anti_large_flaming	javelin	false
nanu_chs_javelin_anti_large_frozen	false	nanu_chs_javelin_anti_large_frozen	javelin	false
