key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_cth				
nanu_cth_dragon_crossbow_bolt_flaming	false	nanu_cth_dragon_crossbow_bolt_flaming	crossbow	false
nanu_cth_dragon_crossbow_bolt_poison	false	nanu_cth_dragon_crossbow_bolt_poison	crossbow	false
nanu_cth_dragon_crossbow_bolt_magic	false	nanu_cth_dragon_crossbow_bolt_magic	crossbow	false
nanu_cth_dragon_crossbow_bolt_explosive	false	nanu_cth_dragon_crossbow_bolt_explosive	crossbow	false
nanu_cth_dragon_crossbow_bolt_explosive_flaming	false	nanu_cth_dragon_crossbow_bolt_explosive_flaming	crossbow	false
nanu_cth_dragon_crossbow_bolt_explosive_magic	false	nanu_cth_dragon_crossbow_bolt_explosive_magic	crossbow	false
nanu_cth_dragon_crossbow_bolt_explosive_arcane_fire	false	nanu_cth_dragon_crossbow_bolt_explosive_arcane_fire	crossbow	false
nanu_cth_jade_crossbow_bolt_flaming	false	nanu_cth_jade_crossbow_bolt_flaming	crossbow	false
nanu_cth_jade_crossbow_bolt_poison	false	nanu_cth_jade_crossbow_bolt_poison	crossbow	false
nanu_cth_jade_crossbow_bolt_magic	false	nanu_cth_jade_crossbow_bolt_magic	crossbow	false
nanu_cth_jade_crossbow_bolt_explosive	false	nanu_cth_jade_crossbow_bolt_explosive	crossbow	false
nanu_cth_jade_crossbow_bolt_explosive_flaming	false	nanu_cth_jade_crossbow_bolt_explosive_flaming	crossbow	false
nanu_cth_jade_crossbow_bolt_explosive_magic	false	nanu_cth_jade_crossbow_bolt_explosive_magic	crossbow	false
nanu_cth_jade_crossbow_bolt_explosive_arcane_fire	false	nanu_cth_jade_crossbow_bolt_explosive_arcane_fire	crossbow	false
nanu_cth_peasant_bow_arrow_flaming	false	nanu_cth_peasant_bow_arrow_flaming	bow	false
nanu_cth_peasant_bow_arrow_poison	false	nanu_cth_peasant_bow_arrow_poison	bow	false
nanu_cth_peasant_bow_arrow_magic	false	nanu_cth_peasant_bow_arrow_magic	bow	false
nanu_cth_peasant_bow_arrow_explosive	false	nanu_cth_peasant_bow_arrow_explosive	bow	false
nanu_cth_peasant_bow_arrow_explosive_flaming	false	nanu_cth_peasant_bow_arrow_explosive_flaming	bow	false
nanu_cth_peasant_bow_arrow_explosive_magic	false	nanu_cth_peasant_bow_arrow_explosive_magic	bow	false
nanu_cth_peasant_bow_arrow_explosive_arcane_fire	false	nanu_cth_peasant_bow_arrow_explosive_arcane_fire	bow	false
nanu_cth_crane_gun_bullet_flaming	false	nanu_cth_crane_gun_bullet_flaming	deck_gunner_cannon	false
nanu_cth_crane_gun_bullet_magic	false	nanu_cth_crane_gun_bullet_magic	deck_gunner_cannon	false
nanu_cth_iron_hail_gun_bullet_flaming	false	nanu_cth_iron_hail_gun_bullet_flaming	hand_cannon	false
nanu_cth_iron_hail_gun_bullet_magic	false	nanu_cth_iron_hail_gun_bullet_magic	hand_cannon	false
nanu_cth_iron_hail_gun_bullet_explosive	false	nanu_cth_iron_hail_gun_bullet_explosive	grenade_launcher	false
nanu_cth_iron_hail_gun_bullet_explosive_flaming	false	nanu_cth_iron_hail_gun_bullet_explosive_flaming	grenade_launcher	false
nanu_cth_iron_hail_gun_bullet_explosive_magic	false	nanu_cth_iron_hail_gun_bullet_explosive_magic	grenade_launcher	false
nanu_cth_iron_hail_gun_bullet_explosive_arcane_fire	false	nanu_cth_iron_hail_gun_bullet_explosive_arcane_fire	grenade_launcher	false
nanu_cth_rocket_arcane_fire	false	nanu_cth_rocket_arcane_fire		false
nanu_cth_rocket_sky_junk_arcane_fire	false	nanu_cth_rocket_sky_junk_arcane_fire		false
