key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_def				
nanu_def_crossbow_bolt_arcane_fire	false	nanu_def_crossbow_bolt_arcane_fire	crossbow	false
nanu_def_crossbow_bolt_flaming	false	nanu_def_crossbow_bolt_flaming	crossbow	false
nanu_def_crossbow_bolt_frostbite	false	nanu_def_crossbow_bolt_frostbite	crossbow	false
nanu_def_crossbow_bolt_magic	false	nanu_def_crossbow_bolt_magic	crossbow	false
nanu_def_crossbow_bolt_poison	false	nanu_def_crossbow_bolt_poison	crossbow	false
nanu_def_crossbow_bolt_anti_infantry	false	nanu_def_crossbow_bolt_anti_infantry	crossbow	false
nanu_def_crossbow_bolt_anti_infantry_arcane_fire	false	nanu_def_crossbow_bolt_anti_infantry_arcane_fire	crossbow	false
nanu_def_crossbow_bolt_anti_infantry_flaming	false	nanu_def_crossbow_bolt_anti_infantry_flaming	crossbow	false
nanu_def_crossbow_bolt_anti_infantry_magic	false	nanu_def_crossbow_bolt_anti_infantry_magic	crossbow	false
nanu_def_crossbow_bolt_anti_infantry_poison	false	nanu_def_crossbow_bolt_anti_infantry_poison	crossbow	false
nanu_def_crossbow_bolt_anti_large	false	nanu_def_crossbow_bolt_anti_large	crossbow	false
nanu_def_crossbow_bolt_anti_large_arcane_fire	false	nanu_def_crossbow_bolt_anti_large_arcane_fire	crossbow	false
nanu_def_crossbow_bolt_anti_large_flaming	false	nanu_def_crossbow_bolt_anti_large_flaming	crossbow	false
nanu_def_crossbow_bolt_anti_large_magic	false	nanu_def_crossbow_bolt_anti_large_magic	crossbow	false
nanu_def_crossbow_bolt_anti_large_poison	false	nanu_def_crossbow_bolt_anti_large_poison	crossbow	false
nanu_def_chariot_crossbow_bolt_arcane_fire	false	nanu_def_chariot_crossbow_bolt_arcane_fire	crossbow	false
nanu_def_chariot_crossbow_bolt_flaming	false	nanu_def_chariot_crossbow_bolt_flaming	crossbow	false
nanu_def_chariot_crossbow_bolt_magic	false	nanu_def_chariot_crossbow_bolt_magic	crossbow	false
nanu_def_chariot_crossbow_bolt_poison	false	nanu_def_chariot_crossbow_bolt_poison	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_infantry	false	nanu_def_chariot_crossbow_bolt_anti_infantry	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_infantry_arcane_fire	false	nanu_def_chariot_crossbow_bolt_anti_infantry_arcane_fire	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_infantry_flaming	false	nanu_def_chariot_crossbow_bolt_anti_infantry_flaming	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_infantry_magic	false	nanu_def_chariot_crossbow_bolt_anti_infantry_magic	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_infantry_poison	false	nanu_def_chariot_crossbow_bolt_anti_infantry_poison	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_large	false	nanu_def_chariot_crossbow_bolt_anti_large	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_large_arcane_fire	false	nanu_def_chariot_crossbow_bolt_anti_large_arcane_fire	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_large_flaming	false	nanu_def_chariot_crossbow_bolt_anti_large_flaming	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_large_magic	false	nanu_def_chariot_crossbow_bolt_anti_large_magic	crossbow	false
nanu_def_chariot_crossbow_bolt_anti_large_poison	false	nanu_def_chariot_crossbow_bolt_anti_large_poison	crossbow	false
nanu_def_horse_crossbow_bolt_arcane_fire	false	nanu_def_horse_crossbow_bolt_arcane_fire	crossbow	false
nanu_def_horse_crossbow_bolt_flaming	false	nanu_def_horse_crossbow_bolt_flaming	crossbow	false
nanu_def_horse_crossbow_bolt_magic	false	nanu_def_horse_crossbow_bolt_magic	crossbow	false
nanu_def_horse_crossbow_bolt_poison	false	nanu_def_horse_crossbow_bolt_poison	crossbow	false
nanu_def_horse_crossbow_bolt_anti_infantry	false	nanu_def_horse_crossbow_bolt_anti_infantry	crossbow	false
nanu_def_horse_crossbow_bolt_anti_infantry_arcane_fire	false	nanu_def_horse_crossbow_bolt_anti_infantry_arcane_fire	crossbow	false
nanu_def_horse_crossbow_bolt_anti_infantry_flaming	false	nanu_def_horse_crossbow_bolt_anti_infantry_flaming	crossbow	false
