key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_dwf				
nanu_dwf_crossbow_bolt_arcane_fire	false	nanu_dwf_crossbow_bolt_arcane_fire	crossbow	false
nanu_dwf_crossbow_bolt_flaming	false	nanu_dwf_crossbow_bolt_flaming	crossbow	false
nanu_dwf_crossbow_bolt_frozen	false	nanu_dwf_crossbow_bolt_frozen	crossbow	false
nanu_dwf_crossbow_bolt_lightning	false	nanu_dwf_crossbow_bolt_lightning	crossbow	false
nanu_dwf_crossbow_bolt_magic	false	nanu_dwf_crossbow_bolt_magic	crossbow	false
nanu_dwf_crossbow_bolt_poison	false	nanu_dwf_crossbow_bolt_poison	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry	false	nanu_dwf_crossbow_bolt_anti_infantry	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_arcane_fire	false	nanu_dwf_crossbow_bolt_anti_infantry_arcane_fire	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_flaming	false	nanu_dwf_crossbow_bolt_anti_infantry_flaming	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_frozen	false	nanu_dwf_crossbow_bolt_anti_infantry_frozen	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_lightning	false	nanu_dwf_crossbow_bolt_anti_infantry_lightning	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_magic	false	nanu_dwf_crossbow_bolt_anti_infantry_magic	crossbow	false
nanu_dwf_crossbow_bolt_anti_infantry_poison	false	nanu_dwf_crossbow_bolt_anti_infantry_poison	crossbow	false
nanu_dwf_crossbow_bolt_anti_large	false	nanu_dwf_crossbow_bolt_anti_large	crossbow	false
nanu_dwf_crossbow_bolt_anti_large_arcane_fire	false	nanu_dwf_crossbow_bolt_anti_large_arcane_fire	crossbow	false
nanu_dwf_crossbow_bolt_anti_large_flaming	false	nanu_dwf_crossbow_bolt_anti_large_flaming	crossbow	false
