key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_emp				
nanu_emp_archer_arrow_arcane_fire	false	nanu_emp_archer_arrow_arcane_fire	bow	false
nanu_emp_archer_arrow_flaming	false	nanu_emp_archer_arrow_flaming	bow	false
nanu_emp_archer_arrow_frozen	false	nanu_emp_archer_arrow_frozen	bow	false
nanu_emp_archer_arrow_lightning	false	nanu_emp_archer_arrow_lightning	bow	false
nanu_emp_archer_arrow_magic	false	nanu_emp_archer_arrow_magic	bow	false
nanu_emp_archer_arrow_poison	false	nanu_emp_archer_arrow_poison	bow	false
nanu_emp_archer_arrow_anti_infantry	false	nanu_emp_archer_arrow_anti_infantry	bow	false
nanu_emp_archer_arrow_anti_infantry_arcane_fire	false	nanu_emp_archer_arrow_anti_infantry_arcane_fire	bow	false
nanu_emp_archer_arrow_anti_infantry_flaming	false	nanu_emp_archer_arrow_anti_infantry_flaming	bow	false
nanu_emp_archer_arrow_anti_infantry_frozen	false	nanu_emp_archer_arrow_anti_infantry_frozen	bow	false
nanu_emp_archer_arrow_anti_infantry_lightning	false	nanu_emp_archer_arrow_anti_infantry_lightning	bow	false
nanu_emp_archer_arrow_anti_infantry_magic	false	nanu_emp_archer_arrow_anti_infantry_magic	bow	false
nanu_emp_archer_arrow_anti_infantry_poison	false	nanu_emp_archer_arrow_anti_infantry_poison	bow	false
nanu_emp_archer_arrow_anti_large	false	nanu_emp_archer_arrow_anti_large	bow	false
nanu_emp_archer_arrow_anti_large_arcane_fire	false	nanu_emp_archer_arrow_anti_large_arcane_fire	bow	false
nanu_emp_archer_arrow_anti_large_flaming	false	nanu_emp_archer_arrow_anti_large_flaming	bow	false
nanu_emp_archer_arrow_anti_large_frozen	false	nanu_emp_archer_arrow_anti_large_frozen	bow	false
nanu_emp_archer_arrow_anti_large_lightning	false	nanu_emp_archer_arrow_anti_large_lightning	bow	false
