key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_ksl				
nanu_ksl_akshina_ambushers_bolt_arcane_fire	false	nanu_ksl_akshina_ambushers_bolt_arcane_fire	crossbow	false
nanu_ksl_akshina_ambushers_bolt_flaming	false	nanu_ksl_akshina_ambushers_bolt_flaming	crossbow	false
nanu_ksl_akshina_ambushers_bolt_frozen	false	nanu_ksl_akshina_ambushers_bolt_frozen	crossbow	false
nanu_ksl_akshina_ambushers_bolt_lightning	false	nanu_ksl_akshina_ambushers_bolt_lightning	crossbow	false
nanu_ksl_akshina_ambushers_bolt_magic	false	nanu_ksl_akshina_ambushers_bolt_magic	crossbow	false
nanu_ksl_akshina_ambushers_bolt_poison	false	nanu_ksl_akshina_ambushers_bolt_poison	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_arcane_fire	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_arcane_fire	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_flaming	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_flaming	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_frozen	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_frozen	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_lightning	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_lightning	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_magic	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_magic	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_infantry_poison	false	nanu_ksl_akshina_ambushers_bolt_anti_infantry_poison	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large	false	nanu_ksl_akshina_ambushers_bolt_anti_large	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_arcane_fire	false	nanu_ksl_akshina_ambushers_bolt_anti_large_arcane_fire	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_flaming	false	nanu_ksl_akshina_ambushers_bolt_anti_large_flaming	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_frozen	false	nanu_ksl_akshina_ambushers_bolt_anti_large_frozen	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_lightning	false	nanu_ksl_akshina_ambushers_bolt_anti_large_lightning	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_magic	false	nanu_ksl_akshina_ambushers_bolt_anti_large_magic	crossbow	false
nanu_ksl_akshina_ambushers_bolt_anti_large_poison	false	nanu_ksl_akshina_ambushers_bolt_anti_large_poison	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi	false	nanu_ksl_akshina_ambushers_bolt_multi	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_arcane_fire	false	nanu_ksl_akshina_ambushers_bolt_multi_arcane_fire	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_flaming	false	nanu_ksl_akshina_ambushers_bolt_multi_flaming	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_frozen	false	nanu_ksl_akshina_ambushers_bolt_multi_frozen	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_lightning	false	nanu_ksl_akshina_ambushers_bolt_multi_lightning	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_magic	false	nanu_ksl_akshina_ambushers_bolt_multi_magic	crossbow	false
nanu_ksl_akshina_ambushers_bolt_multi_poison	false	nanu_ksl_akshina_ambushers_bolt_multi_poison	crossbow	false
nanu_ksl_akshina_ambushers_bolt_seeking	false	nanu_ksl_akshina_ambushers_bolt_seeking	crossbow	false
