key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_lzd				
nanu_lzd_blowpipe_arcane_fire	false	nanu_lzd_blowpipe_arcane_fire	blowpipe	false
nanu_lzd_blowpipe_flaming	false	nanu_lzd_blowpipe_flaming	blowpipe	false
nanu_lzd_blowpipe_lightning	false	nanu_lzd_blowpipe_lightning	blowpipe	false
nanu_lzd_blowpipe_magic	false	nanu_lzd_blowpipe_magic	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_infantry	false	nanu_lzd_blowpipe_bonus_vs_infantry	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_infantry_arcane_fire	false	nanu_lzd_blowpipe_bonus_vs_infantry_arcane_fire	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_infantry_flaming	false	nanu_lzd_blowpipe_bonus_vs_infantry_flaming	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_infantry_lightning	false	nanu_lzd_blowpipe_bonus_vs_infantry_lightning	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_infantry_magic	false	nanu_lzd_blowpipe_bonus_vs_infantry_magic	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_large	false	nanu_lzd_blowpipe_bonus_vs_large	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_large_arcane_fire	false	nanu_lzd_blowpipe_bonus_vs_large_arcane_fire	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_large_flaming	false	nanu_lzd_blowpipe_bonus_vs_large_flaming	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_large_lightning	false	nanu_lzd_blowpipe_bonus_vs_large_lightning	blowpipe	false
nanu_lzd_blowpipe_bonus_vs_large_magic	false	nanu_lzd_blowpipe_bonus_vs_large_magic	blowpipe	false
nanu_lzd_fireleech_bolas_terradon_arcane_fire	false	nanu_lzd_fireleech_bolas_terradon_arcane_fire		false
nanu_lzd_fireleech_bolas_terradon_flaming	false	nanu_lzd_fireleech_bolas_terradon_flaming		false
nanu_lzd_fireleech_bolas_terradon_lightning	false	nanu_lzd_fireleech_bolas_terradon_lightning		false
nanu_lzd_javelin_arcane_fire	false	nanu_lzd_javelin_arcane_fire	javelin	false
nanu_lzd_javelin_flaming	false	nanu_lzd_javelin_flaming	javelin	false
nanu_lzd_javelin_lightning	false	nanu_lzd_javelin_lightning	javelin	false
nanu_lzd_javelin_magic	false	nanu_lzd_javelin_magic	javelin	false
nanu_lzd_javelin_anti_infantry	false	nanu_lzd_javelin_anti_infantry	javelin	false
nanu_lzd_javelin_anti_infantry_arcane_fire	false	nanu_lzd_javelin_anti_infantry_arcane_fire	javelin	false
nanu_lzd_javelin_anti_infantry_flaming	false	nanu_lzd_javelin_anti_infantry_flaming	javelin	false
nanu_lzd_javelin_anti_infantry_lightning	false	nanu_lzd_javelin_anti_infantry_lightning	javelin	false
nanu_lzd_javelin_anti_infantry_magic	false	nanu_lzd_javelin_anti_infantry_magic	javelin	false
nanu_lzd_javelin_anti_large	false	nanu_lzd_javelin_anti_large	javelin	false
nanu_lzd_javelin_anti_large_arcane_fire	false	nanu_lzd_javelin_anti_large_arcane_fire	javelin	false
nanu_lzd_javelin_anti_large_flaming	false	nanu_lzd_javelin_anti_large_flaming	javelin	false
nanu_lzd_javelin_anti_large_lightning	false	nanu_lzd_javelin_anti_large_lightning	javelin	false
nanu_lzd_javelin_anti_large_magic	false	nanu_lzd_javelin_anti_large_magic	javelin	false
nanu_lzd_javelin_terradon_arcane_fire	false	nanu_lzd_javelin_terradon_arcane_fire	javelin	false
nanu_lzd_javelin_terradon_flaming	false	nanu_lzd_javelin_terradon_flaming	javelin	false
nanu_lzd_javelin_terradon_lightning	false	nanu_lzd_javelin_terradon_lightning	javelin	false
nanu_lzd_javelin_terradon_magic	false	nanu_lzd_javelin_terradon_magic	javelin	false
nanu_lzd_javelin_terradon_anti_infantry	false	nanu_lzd_javelin_terradon_anti_infantry	javelin	false
nanu_lzd_javelin_terradon_anti_infantry_arcane_fire	false	nanu_lzd_javelin_terradon_anti_infantry_arcane_fire	javelin	false
nanu_lzd_javelin_terradon_anti_infantry_flaming	false	nanu_lzd_javelin_terradon_anti_infantry_flaming	javelin	false
nanu_lzd_javelin_terradon_anti_infantry_lightning	false	nanu_lzd_javelin_terradon_anti_infantry_lightning	javelin	false
nanu_lzd_javelin_terradon_anti_infantry_magic	false	nanu_lzd_javelin_terradon_anti_infantry_magic	javelin	false
nanu_lzd_javelin_terradon_anti_large	false	nanu_lzd_javelin_terradon_anti_large	javelin	false
nanu_lzd_javelin_terradon_anti_large_arcane_fire	false	nanu_lzd_javelin_terradon_anti_large_arcane_fire	javelin	false
nanu_lzd_javelin_terradon_anti_large_flaming	false	nanu_lzd_javelin_terradon_anti_large_flaming	javelin	false
nanu_lzd_javelin_terradon_anti_large_lightning	false	nanu_lzd_javelin_terradon_anti_large_lightning	javelin	false
nanu_lzd_javelin_terradon_anti_large_magic	false	nanu_lzd_javelin_terradon_anti_large_magic	javelin	false
nanu_lzd_javelin_terradon_multi	false	nanu_lzd_javelin_terradon_multi	javelin	false
nanu_lzd_javelin_terradon_multi_arcane_fire	false	nanu_lzd_javelin_terradon_multi_arcane_fire	javelin	false
nanu_lzd_javelin_terradon_multi_flaming	false	nanu_lzd_javelin_terradon_multi_flaming	javelin	false
nanu_lzd_javelin_terradon_multi_lightning	false	nanu_lzd_javelin_terradon_multi_lightning	javelin	false
nanu_lzd_javelin_terradon_multi_magic	false	nanu_lzd_javelin_terradon_multi_magic	javelin	false
nanu_lzd_mon_stegadon_crossbow_arcane_fire	false	nanu_lzd_mon_stegadon_crossbow_arcane_fire	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_flaming	false	nanu_lzd_mon_stegadon_crossbow_flaming	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_lightning	false	nanu_lzd_mon_stegadon_crossbow_lightning	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_magic	false	nanu_lzd_mon_stegadon_crossbow_magic	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_anti_large	false	nanu_lzd_mon_stegadon_crossbow_anti_large	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_anti_large_arcane_fire	false	nanu_lzd_mon_stegadon_crossbow_anti_large_arcane_fire	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_anti_large_flaming	false	nanu_lzd_mon_stegadon_crossbow_anti_large_flaming	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_anti_large_lightning	false	nanu_lzd_mon_stegadon_crossbow_anti_large_lightning	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_anti_large_magic	false	nanu_lzd_mon_stegadon_crossbow_anti_large_magic	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_multi	false	nanu_lzd_mon_stegadon_crossbow_multi	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_multi_arcane_fire	false	nanu_lzd_mon_stegadon_crossbow_multi_arcane_fire	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_multi_flaming	false	nanu_lzd_mon_stegadon_crossbow_multi_flaming	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_multi_lightning	false	nanu_lzd_mon_stegadon_crossbow_multi_lightning	bolt_large	false
nanu_lzd_mon_stegadon_crossbow_multi_magic	false	nanu_lzd_mon_stegadon_crossbow_multi_magic	bolt_large	false
nanu_lzd_mon_stegadon_giant_blowpipe_arcane_fire	false	nanu_lzd_mon_stegadon_giant_blowpipe_arcane_fire	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_flaming	false	nanu_lzd_mon_stegadon_giant_blowpipe_flaming	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_lightning	false	nanu_lzd_mon_stegadon_giant_blowpipe_lightning	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_magic	false	nanu_lzd_mon_stegadon_giant_blowpipe_magic	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_arcane_fire	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_arcane_fire	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_flaming	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_flaming	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_lightning	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_lightning	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_magic	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_infantry_magic	giant_blowpipe	false
nanu_lzd_mon_stegadon_giant_blowpipe_anti_large	false	nanu_lzd_mon_stegadon_giant_blowpipe_anti_large	giant_blowpipe	false
