key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_ogr				
nanu_ogr_harpoon_launcher_bolt_arcane_fire	false	nanu_ogr_harpoon_launcher_bolt_arcane_fire		false
nanu_ogr_harpoon_launcher_bolt_flaming	false	nanu_ogr_harpoon_launcher_bolt_flaming		false
nanu_ogr_harpoon_launcher_bolt_frozen	false	nanu_ogr_harpoon_launcher_bolt_frozen		false
nanu_ogr_harpoon_launcher_bolt_lightning	false	nanu_ogr_harpoon_launcher_bolt_lightning		false
nanu_ogr_harpoon_launcher_bolt_magic	false	nanu_ogr_harpoon_launcher_bolt_magic		false
nanu_ogr_harpoon_launcher_bolt_poison	false	nanu_ogr_harpoon_launcher_bolt_poison		false
nanu_ogr_harpoon_launcher_bolt_anti_large	false	nanu_ogr_harpoon_launcher_bolt_anti_large		false
nanu_ogr_harpoon_launcher_bolt_anti_large_arcane_fire	false	nanu_ogr_harpoon_launcher_bolt_anti_large_arcane_fire		false
nanu_ogr_harpoon_launcher_bolt_anti_large_flaming	false	nanu_ogr_harpoon_launcher_bolt_anti_large_flaming		false
nanu_ogr_harpoon_launcher_bolt_anti_large_frozen	false	nanu_ogr_harpoon_launcher_bolt_anti_large_frozen		false
nanu_ogr_harpoon_launcher_bolt_anti_large_lightning	false	nanu_ogr_harpoon_launcher_bolt_anti_large_lightning		false
nanu_ogr_harpoon_launcher_bolt_anti_large_magic	false	nanu_ogr_harpoon_launcher_bolt_anti_large_magic		false
nanu_ogr_harpoon_launcher_bolt_anti_large_poison	false	nanu_ogr_harpoon_launcher_bolt_anti_large_poison		false
nanu_ogr_harpoon_launcher_bolt_multi	false	nanu_ogr_harpoon_launcher_bolt_multi		false
nanu_ogr_harpoon_launcher_bolt_multi_arcane_fire	false	nanu_ogr_harpoon_launcher_bolt_multi_arcane_fire		false
nanu_ogr_harpoon_launcher_bolt_multi_flaming	false	nanu_ogr_harpoon_launcher_bolt_multi_flaming		false
nanu_ogr_harpoon_launcher_bolt_multi_frozen	false	nanu_ogr_harpoon_launcher_bolt_multi_frozen		false
nanu_ogr_harpoon_launcher_bolt_multi_lightning	false	nanu_ogr_harpoon_launcher_bolt_multi_lightning		false
nanu_ogr_harpoon_launcher_bolt_multi_magic	false	nanu_ogr_harpoon_launcher_bolt_multi_magic		false
nanu_ogr_harpoon_launcher_bolt_multi_poison	false	nanu_ogr_harpoon_launcher_bolt_multi_poison		false
nanu_ogr_veh_gnoblar_scraplauncher_arcane_fire	false	nanu_ogr_veh_gnoblar_scraplauncher_arcane_fire		false
nanu_ogr_veh_gnoblar_scraplauncher_flaming	false	nanu_ogr_veh_gnoblar_scraplauncher_flaming		false
