key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_skv				
nanu_skv_death_globe_arcane_fire	false	nanu_skv_death_globe_arcane_fire		false
nanu_skv_death_globe_lightning	false	nanu_skv_death_globe_lightning		false
nanu_skv_gutter_runner_sling_arcane_fire	false	nanu_skv_gutter_runner_sling_arcane_fire		false
nanu_skv_gutter_runner_sling_flaming	false	nanu_skv_gutter_runner_sling_flaming		false
nanu_skv_gutter_runner_sling_lightning	false	nanu_skv_gutter_runner_sling_lightning		false
nanu_skv_gutter_runner_sling_magic	false	nanu_skv_gutter_runner_sling_magic		false
nanu_skv_gutter_runner_sling_poison	false	nanu_skv_gutter_runner_sling_poison		false
nanu_skv_gutter_runner_sling_anti_infantry	false	nanu_skv_gutter_runner_sling_anti_infantry		false
nanu_skv_gutter_runner_sling_anti_infantry_arcane_fire	false	nanu_skv_gutter_runner_sling_anti_infantry_arcane_fire		false
nanu_skv_gutter_runner_sling_anti_infantry_flaming	false	nanu_skv_gutter_runner_sling_anti_infantry_flaming		false
nanu_skv_gutter_runner_sling_anti_infantry_lightning	false	nanu_skv_gutter_runner_sling_anti_infantry_lightning		false
nanu_skv_gutter_runner_sling_anti_infantry_magic	false	nanu_skv_gutter_runner_sling_anti_infantry_magic		false
nanu_skv_gutter_runner_sling_anti_infantry_poison	false	nanu_skv_gutter_runner_sling_anti_infantry_poison		false
nanu_skv_gutter_runner_sling_anti_large	false	nanu_skv_gutter_runner_sling_anti_large		false
nanu_skv_gutter_runner_sling_anti_large_arcane_fire	false	nanu_skv_gutter_runner_sling_anti_large_arcane_fire		false
nanu_skv_gutter_runner_sling_anti_large_flaming	false	nanu_skv_gutter_runner_sling_anti_large_flaming		false
nanu_skv_gutter_runner_sling_anti_large_lightning	false	nanu_skv_gutter_runner_sling_anti_large_lightning		false
nanu_skv_gutter_runner_sling_anti_large_magic	false	nanu_skv_gutter_runner_sling_anti_large_magic		false
nanu_skv_gutter_runner_sling_anti_large_poison	false	nanu_skv_gutter_runner_sling_anti_large_poison		false
nanu_skv_gutter_runner_throwing_star_arcane_fire	false	nanu_skv_gutter_runner_throwing_star_arcane_fire		false
nanu_skv_gutter_runner_throwing_star_flaming	false	nanu_skv_gutter_runner_throwing_star_flaming		false
nanu_skv_gutter_runner_throwing_star_lightning	false	nanu_skv_gutter_runner_throwing_star_lightning		false
nanu_skv_gutter_runner_throwing_star_magic	false	nanu_skv_gutter_runner_throwing_star_magic		false
nanu_skv_gutter_runner_throwing_star_multi_poison	false	nanu_skv_gutter_runner_throwing_star_multi_poison		false
nanu_skv_gutter_runner_throwing_star_poison	false	nanu_skv_gutter_runner_throwing_star_poison		false
nanu_skv_gutter_runner_throwing_star_anti_infantry	false	nanu_skv_gutter_runner_throwing_star_anti_infantry		false
nanu_skv_gutter_runner_throwing_star_anti_infantry_arcane_fire	false	nanu_skv_gutter_runner_throwing_star_anti_infantry_arcane_fire		false
nanu_skv_gutter_runner_throwing_star_anti_infantry_flaming	false	nanu_skv_gutter_runner_throwing_star_anti_infantry_flaming		false
nanu_skv_gutter_runner_throwing_star_anti_infantry_lightning	false	nanu_skv_gutter_runner_throwing_star_anti_infantry_lightning		false
nanu_skv_gutter_runner_throwing_star_anti_infantry_magic	false	nanu_skv_gutter_runner_throwing_star_anti_infantry_magic		false
nanu_skv_gutter_runner_throwing_star_anti_infantry_poison	false	nanu_skv_gutter_runner_throwing_star_anti_infantry_poison		false
nanu_skv_gutter_runner_throwing_star_anti_large	false	nanu_skv_gutter_runner_throwing_star_anti_large		false
nanu_skv_gutter_runner_throwing_star_anti_large_arcane_fire	false	nanu_skv_gutter_runner_throwing_star_anti_large_arcane_fire		false
